lat,lon,region,catches,tooltip,geometry
-77.5,-49.5,FAO 48,0,"Lon: -49.5°, Lat: -77.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-49.5, -77.5)"
-77.5,-48.5,FAO 48,0,"Lon: -48.5°, Lat: -77.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-48.5, -77.5)"
-77.5,-47.5,FAO 48,0,"Lon: -47.5°, Lat: -77.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-47.5, -77.5)"
-77.5,-46.5,FAO 48,0,"Lon: -46.5°, Lat: -77.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-46.5, -77.5)"
-77.5,-45.5,FAO 48,0,"Lon: -45.5°, Lat: -77.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-45.5, -77.5)"
-77.5,-44.5,FAO 48,0,"Lon: -44.5°, Lat: -77.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-44.5, -77.5)"
-77.5,-43.5,FAO 48,0,"Lon: -43.5°, Lat: -77.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-43.5, -77.5)"
-77.5,-42.5,FAO 48,0,"Lon: -42.5°, Lat: -77.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-42.5, -77.5)"
-77.5,-41.5,FAO 48,0,"Lon: -41.5°, Lat: -77.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-41.5, -77.5)"
-77.5,-40.5,FAO 48,0,"Lon: -40.5°, Lat: -77.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-40.5, -77.5)"
-77.5,-39.5,FAO 48,0,"Lon: -39.5°, Lat: -77.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-39.5, -77.5)"
-77.5,-38.5,FAO 48,0,"Lon: -38.5°, Lat: -77.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-38.5, -77.5)"
-77.5,-37.5,FAO 48,2.7261779922424e-4,"Lon: -37.5°, Lat: -77.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-37.5, -77.5)"
-77.5,-36.5,FAO 48,2.8864684232235e-4,"Lon: -36.5°, Lat: -77.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-36.5, -77.5)"
-77.5,-35.5,FAO 48,6.3423402310955e-4,"Lon: -35.5°, Lat: -77.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-35.5, -77.5)"
-77.5,-34.5,FAO 48,6.5026708705522e-4,"Lon: -34.5°, Lat: -77.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-34.5, -77.5)"
-76.5,-53.5,FAO 48,0,"Lon: -53.5°, Lat: -76.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-53.5, -76.5)"
-76.5,-52.5,FAO 48,0,"Lon: -52.5°, Lat: -76.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-52.5, -76.5)"
-76.5,-51.5,FAO 48,0,"Lon: -51.5°, Lat: -76.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-51.5, -76.5)"
-76.5,-50.5,FAO 48,0,"Lon: -50.5°, Lat: -76.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-50.5, -76.5)"
-76.5,-49.5,FAO 48,0,"Lon: -49.5°, Lat: -76.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-49.5, -76.5)"
-76.5,-48.5,FAO 48,0,"Lon: -48.5°, Lat: -76.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-48.5, -76.5)"
-76.5,-47.5,FAO 48,0,"Lon: -47.5°, Lat: -76.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-47.5, -76.5)"
-76.5,-46.5,FAO 48,0,"Lon: -46.5°, Lat: -76.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-46.5, -76.5)"
-76.5,-45.5,FAO 48,0,"Lon: -45.5°, Lat: -76.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-45.5, -76.5)"
-76.5,-44.5,FAO 48,0,"Lon: -44.5°, Lat: -76.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-44.5, -76.5)"
-76.5,-43.5,FAO 48,0,"Lon: -43.5°, Lat: -76.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-43.5, -76.5)"
-76.5,-42.5,FAO 48,0,"Lon: -42.5°, Lat: -76.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-42.5, -76.5)"
-76.5,-41.5,FAO 48,0,"Lon: -41.5°, Lat: -76.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-41.5, -76.5)"
-76.5,-40.5,FAO 48,0,"Lon: -40.5°, Lat: -76.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-40.5, -76.5)"
-76.5,-39.5,FAO 48,0,"Lon: -39.5°, Lat: -76.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-39.5, -76.5)"
-76.5,-38.5,FAO 48,0,"Lon: -38.5°, Lat: -76.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-38.5, -76.5)"
-76.5,-37.5,FAO 48,3.0919560763887e-4,"Lon: -37.5°, Lat: -76.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-37.5, -76.5)"
-76.5,-36.5,FAO 48,3.8420918034702e-4,"Lon: -36.5°, Lat: -76.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-36.5, -76.5)"
-76.5,-35.5,FAO 48,6.3047533962715e-4,"Lon: -35.5°, Lat: -76.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-35.5, -76.5)"
-76.5,-34.5,FAO 48,6.4168532660746e-4,"Lon: -34.5°, Lat: -76.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-34.5, -76.5)"
-76.5,-33.5,FAO 48,0.00224478152684194,"Lon: -33.5°, Lat: -76.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-33.5, -76.5)"
-76.5,-32.5,FAO 48,0.00301212166605491,"Lon: -32.5°, Lat: -76.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-32.5, -76.5)"
-76.5,-31.5,FAO 48,0.00338655495070706,"Lon: -31.5°, Lat: -76.5°
Catches: 0.0 tonnes/km²
Region:fao-48","c(-31.5, -76.5)"
