lat,lon,region,biomass,tooltip,geometry
-77.5,-49.5,FAO 48,11.236004666259856,"Lon: -49.5°, Lat: -77.5°
Biomass: 11.24 tonnes/km²
Region:fao-48","c(-49.5, -77.5)"
-77.5,-48.5,FAO 48,14.863360996518647,"Lon: -48.5°, Lat: -77.5°
Biomass: 14.86 tonnes/km²
Region:fao-48","c(-48.5, -77.5)"
-77.5,-47.5,FAO 48,9.797365108875828,"Lon: -47.5°, Lat: -77.5°
Biomass: 9.8 tonnes/km²
Region:fao-48","c(-47.5, -77.5)"
-77.5,-46.5,FAO 48,9.207509689190903,"Lon: -46.5°, Lat: -77.5°
Biomass: 9.21 tonnes/km²
Region:fao-48","c(-46.5, -77.5)"
-77.5,-45.5,FAO 48,10.278994477322827,"Lon: -45.5°, Lat: -77.5°
Biomass: 10.28 tonnes/km²
Region:fao-48","c(-45.5, -77.5)"
-77.5,-44.5,FAO 48,12.917042833430695,"Lon: -44.5°, Lat: -77.5°
Biomass: 12.92 tonnes/km²
Region:fao-48","c(-44.5, -77.5)"
-77.5,-43.5,FAO 48,14.696087214948776,"Lon: -43.5°, Lat: -77.5°
Biomass: 14.7 tonnes/km²
Region:fao-48","c(-43.5, -77.5)"
-77.5,-42.5,FAO 48,14.838367568587822,"Lon: -42.5°, Lat: -77.5°
Biomass: 14.84 tonnes/km²
Region:fao-48","c(-42.5, -77.5)"
-77.5,-41.5,FAO 48,15.598513520928902,"Lon: -41.5°, Lat: -77.5°
Biomass: 15.6 tonnes/km²
Region:fao-48","c(-41.5, -77.5)"
-77.5,-40.5,FAO 48,15.142513212237748,"Lon: -40.5°, Lat: -77.5°
Biomass: 15.14 tonnes/km²
Region:fao-48","c(-40.5, -77.5)"
-77.5,-39.5,FAO 48,13.183829373164391,"Lon: -39.5°, Lat: -77.5°
Biomass: 13.18 tonnes/km²
Region:fao-48","c(-39.5, -77.5)"
-77.5,-38.5,FAO 48,11.98348520660227,"Lon: -38.5°, Lat: -77.5°
Biomass: 11.98 tonnes/km²
Region:fao-48","c(-38.5, -77.5)"
-77.5,-37.5,FAO 48,11.989185068537465,"Lon: -37.5°, Lat: -77.5°
Biomass: 11.99 tonnes/km²
Region:fao-48","c(-37.5, -77.5)"
-77.5,-36.5,FAO 48,12.347810369883131,"Lon: -36.5°, Lat: -77.5°
Biomass: 12.35 tonnes/km²
Region:fao-48","c(-36.5, -77.5)"
-77.5,-35.5,FAO 48,14.16666196660433,"Lon: -35.5°, Lat: -77.5°
Biomass: 14.17 tonnes/km²
Region:fao-48","c(-35.5, -77.5)"
-77.5,-34.5,FAO 48,14.022006344623566,"Lon: -34.5°, Lat: -77.5°
Biomass: 14.02 tonnes/km²
Region:fao-48","c(-34.5, -77.5)"
-76.5,-53.5,FAO 48,8.675177433439442,"Lon: -53.5°, Lat: -76.5°
Biomass: 8.68 tonnes/km²
Region:fao-48","c(-53.5, -76.5)"
-76.5,-52.5,FAO 48,9.365860383229952,"Lon: -52.5°, Lat: -76.5°
Biomass: 9.37 tonnes/km²
Region:fao-48","c(-52.5, -76.5)"
-76.5,-51.5,FAO 48,9.67384456897197,"Lon: -51.5°, Lat: -76.5°
Biomass: 9.67 tonnes/km²
Region:fao-48","c(-51.5, -76.5)"
-76.5,-50.5,FAO 48,8.670132494498935,"Lon: -50.5°, Lat: -76.5°
Biomass: 8.67 tonnes/km²
Region:fao-48","c(-50.5, -76.5)"
-76.5,-49.5,FAO 48,6.725626413778779,"Lon: -49.5°, Lat: -76.5°
Biomass: 6.73 tonnes/km²
Region:fao-48","c(-49.5, -76.5)"
-76.5,-48.5,FAO 48,6.469755757984263,"Lon: -48.5°, Lat: -76.5°
Biomass: 6.47 tonnes/km²
Region:fao-48","c(-48.5, -76.5)"
-76.5,-47.5,FAO 48,5.516027514014991,"Lon: -47.5°, Lat: -76.5°
Biomass: 5.52 tonnes/km²
Region:fao-48","c(-47.5, -76.5)"
-76.5,-46.5,FAO 48,5.4749814725566335,"Lon: -46.5°, Lat: -76.5°
Biomass: 5.47 tonnes/km²
Region:fao-48","c(-46.5, -76.5)"
-76.5,-45.5,FAO 48,5.445214167033754,"Lon: -45.5°, Lat: -76.5°
Biomass: 5.45 tonnes/km²
Region:fao-48","c(-45.5, -76.5)"
-76.5,-44.5,FAO 48,6.2212907196450855,"Lon: -44.5°, Lat: -76.5°
Biomass: 6.22 tonnes/km²
Region:fao-48","c(-44.5, -76.5)"
-76.5,-43.5,FAO 48,7.165393845250308,"Lon: -43.5°, Lat: -76.5°
Biomass: 7.17 tonnes/km²
Region:fao-48","c(-43.5, -76.5)"
-76.5,-42.5,FAO 48,7.617423550109029,"Lon: -42.5°, Lat: -76.5°
Biomass: 7.62 tonnes/km²
Region:fao-48","c(-42.5, -76.5)"
-76.5,-41.5,FAO 48,7.709987971382296,"Lon: -41.5°, Lat: -76.5°
Biomass: 7.71 tonnes/km²
Region:fao-48","c(-41.5, -76.5)"
-76.5,-40.5,FAO 48,8.620821337228739,"Lon: -40.5°, Lat: -76.5°
Biomass: 8.62 tonnes/km²
Region:fao-48","c(-40.5, -76.5)"
-76.5,-39.5,FAO 48,9.279692820314285,"Lon: -39.5°, Lat: -76.5°
Biomass: 9.28 tonnes/km²
Region:fao-48","c(-39.5, -76.5)"
-76.5,-38.5,FAO 48,9.392461963388552,"Lon: -38.5°, Lat: -76.5°
Biomass: 9.39 tonnes/km²
Region:fao-48","c(-38.5, -76.5)"
-76.5,-37.5,FAO 48,9.134774485853928,"Lon: -37.5°, Lat: -76.5°
Biomass: 9.13 tonnes/km²
Region:fao-48","c(-37.5, -76.5)"
-76.5,-36.5,FAO 48,9.381321034695894,"Lon: -36.5°, Lat: -76.5°
Biomass: 9.38 tonnes/km²
Region:fao-48","c(-36.5, -76.5)"
-76.5,-35.5,FAO 48,9.391042776889991,"Lon: -35.5°, Lat: -76.5°
Biomass: 9.39 tonnes/km²
Region:fao-48","c(-35.5, -76.5)"
-76.5,-34.5,FAO 48,9.627157924371849,"Lon: -34.5°, Lat: -76.5°
Biomass: 9.63 tonnes/km²
Region:fao-48","c(-34.5, -76.5)"
-76.5,-33.5,FAO 48,12.951258967653192,"Lon: -33.5°, Lat: -76.5°
Biomass: 12.95 tonnes/km²
Region:fao-48","c(-33.5, -76.5)"
-76.5,-32.5,FAO 48,14.684198401814802,"Lon: -32.5°, Lat: -76.5°
Biomass: 14.68 tonnes/km²
Region:fao-48","c(-32.5, -76.5)"
-76.5,-31.5,FAO 48,14.72127635367024,"Lon: -31.5°, Lat: -76.5°
Biomass: 14.72 tonnes/km²
Region:fao-48","c(-31.5, -76.5)"
-76.5,-30.5,FAO 48,17.905277881310077,"Lon: -30.5°, Lat: -76.5°
Biomass: 17.91 tonnes/km²
Region:fao-48","c(-30.5, -76.5)"
-76.5,-29.5,FAO 48,31.947650422703926,"Lon: -29.5°, Lat: -76.5°
Biomass: 31.95 tonnes/km²
Region:fao-48","c(-29.5, -76.5)"
-75.5,-57.5,FAO 48,19.023462883452844,"Lon: -57.5°, Lat: -75.5°
Biomass: 19.02 tonnes/km²
Region:fao-48","c(-57.5, -75.5)"
