year,scenario,eez,min_change,mean_change,median_change,max_change,sd_change,tooltip
1950,historical,Crozet Islands,-25.65,-5.1,-2.76,3.55,8.43,"Year: 1950
Mean change: -5.1%
SD: ±8.4%"
1950,historical,Heard Island and McDonald Islands,-19.13,-4.78,-1.71,4.51,7.72,"Year: 1950
Mean change: -4.8%
SD: ±7.7%"
1950,historical,Kerguelen Islands,-9.51,-2.99,-2.86,1.71,3.9,"Year: 1950
Mean change: -3%
SD: ±3.9%"
1950,historical,Prince Edward Islands,-11.3,-0.99,0.28,7.67,5.69,"Year: 1950
Mean change: -1%
SD: ±5.7%"
1951,historical,Crozet Islands,-25.9,-5.33,-3.31,2.42,8.29,"Year: 1951
Mean change: -5.3%
SD: ±8.3%"
1951,historical,Heard Island and McDonald Islands,-20.52,-4.32,-2.59,5.43,8.11,"Year: 1951
Mean change: -4.3%
SD: ±8.1%"
1951,historical,Kerguelen Islands,-10.19,-3.8,-4.41,3.94,4.56,"Year: 1951
Mean change: -3.8%
SD: ±4.6%"
1951,historical,Prince Edward Islands,-13.68,-0.67,-0.88,9.97,6.65,"Year: 1951
Mean change: -0.7%
SD: ±6.7%"
1952,historical,Crozet Islands,-25.51,-2.25,-0.17,14.14,10.08,"Year: 1952
Mean change: -2.2%
SD: ±10.1%"
1952,historical,Heard Island and McDonald Islands,-23.27,-4.33,-0.33,4.76,8.89,"Year: 1952
Mean change: -4.3%
SD: ±8.9%"
1952,historical,Kerguelen Islands,-10.67,-2.68,-1.36,2.71,4.95,"Year: 1952
Mean change: -2.7%
SD: ±5%"
1952,historical,Prince Edward Islands,-5.71,1.89,0.54,20.71,8.58,"Year: 1952
Mean change: 1.9%
SD: ±8.6%"
1953,historical,Crozet Islands,-24.6,-2.72,-1.6,7.91,9.35,"Year: 1953
Mean change: -2.7%
SD: ±9.3%"
1953,historical,Heard Island and McDonald Islands,-21.71,-3.12,1.3,6.43,8.78,"Year: 1953
Mean change: -3.1%
SD: ±8.8%"
1953,historical,Kerguelen Islands,-10.13,-2.71,-3.19,4.59,4.33,"Year: 1953
Mean change: -2.7%
SD: ±4.3%"
1953,historical,Prince Edward Islands,-7.08,0.5,-0.81,16.57,7.11,"Year: 1953
Mean change: 0.5%
SD: ±7.1%"
1954,historical,Crozet Islands,-24.24,-2.88,-1.71,10.98,9.65,"Year: 1954
Mean change: -2.9%
SD: ±9.7%"
1954,historical,Heard Island and McDonald Islands,-18.3,-2.75,-0.57,6.24,7.6,"Year: 1954
Mean change: -2.8%
SD: ±7.6%"
1954,historical,Kerguelen Islands,-10.87,-0.75,0.04,7.67,6.25,"Year: 1954
Mean change: -0.8%
SD: ±6.2%"
1954,historical,Prince Edward Islands,-9.46,0.09,1.18,6.05,4.44,"Year: 1954
Mean change: 0.1%
SD: ±4.4%"
1955,historical,Crozet Islands,-24.51,-5,-4.28,8.75,8.8,"Year: 1955
Mean change: -5%
SD: ±8.8%"
1955,historical,Heard Island and McDonald Islands,-16.33,-2.32,0.62,5.78,7.74,"Year: 1955
Mean change: -2.3%
SD: ±7.7%"
1955,historical,Kerguelen Islands,-9.04,-2.66,-3.04,3.4,4.24,"Year: 1955
Mean change: -2.7%
SD: ±4.2%"
1955,historical,Prince Edward Islands,-10.91,-1.92,-1.62,6.06,4.78,"Year: 1955
Mean change: -1.9%
SD: ±4.8%"
1956,historical,Crozet Islands,-24.9,-4.55,-3.3,6.1,8.61,"Year: 1956
Mean change: -4.6%
SD: ±8.6%"
1956,historical,Heard Island and McDonald Islands,-17.9,-2.06,0.57,6.8,7.88,"Year: 1956
Mean change: -2.1%
SD: ±7.9%"
1956,historical,Kerguelen Islands,-9.77,-1.81,-1.06,4.46,4.6,"Year: 1956
Mean change: -1.8%
SD: ±4.6%"
1956,historical,Prince Edward Islands,-12.12,0.1,1.34,8.69,5.71,"Year: 1956
Mean change: 0.1%
SD: ±5.7%"
1957,historical,Crozet Islands,-24.76,-2.32,-0.14,8.06,9.1,"Year: 1957
Mean change: -2.3%
SD: ±9.1%"
1957,historical,Heard Island and McDonald Islands,-17.85,-3.16,-0.82,4.25,6.9,"Year: 1957
Mean change: -3.2%
SD: ±6.9%"
1957,historical,Kerguelen Islands,-8.51,-1.57,-0.44,6.43,4.74,"Year: 1957
Mean change: -1.6%
SD: ±4.7%"
1957,historical,Prince Edward Islands,-13.3,1.33,2.1,11.32,7,"Year: 1957
Mean change: 1.3%
SD: ±7%"
1958,historical,Crozet Islands,-24.01,-2.81,-1.12,8.64,8.58,"Year: 1958
Mean change: -2.8%
SD: ±8.6%"
1958,historical,Heard Island and McDonald Islands,-13.86,-2.01,2.35,4.51,7.23,"Year: 1958
Mean change: -2%
SD: ±7.2%"
1958,historical,Kerguelen Islands,-7.85,-1.31,-1.5,5.64,3.79,"Year: 1958
Mean change: -1.3%
SD: ±3.8%"
1958,historical,Prince Edward Islands,-14.03,0.65,0.96,13.94,7.5,"Year: 1958
Mean change: 0.7%
SD: ±7.5%"
1959,historical,Crozet Islands,-23.17,-4.02,-1.88,1.88,7.15,"Year: 1959
Mean change: -4%
SD: ±7.2%"
1959,historical,Heard Island and McDonald Islands,-15.32,-3.27,-1.09,4.39,6.91,"Year: 1959
Mean change: -3.3%
SD: ±6.9%"
1959,historical,Kerguelen Islands,-8.21,-3.18,-3.28,1.05,3.43,"Year: 1959
Mean change: -3.2%
SD: ±3.4%"
1959,historical,Prince Edward Islands,-14.5,-0.63,0.67,11.55,6.86,"Year: 1959
Mean change: -0.6%
SD: ±6.9%"
1960,historical,Crozet Islands,-22.37,-0.03,-0.54,12.38,9.22,"Year: 1960
Mean change: 0%
SD: ±9.2%"
1960,historical,Heard Island and McDonald Islands,-15.92,-2.6,0.42,7.4,7.76,"Year: 1960
Mean change: -2.6%
SD: ±7.8%"
1960,historical,Kerguelen Islands,-9.22,-3.07,-1.99,2.22,4.36,"Year: 1960
Mean change: -3.1%
SD: ±4.4%"
1960,historical,Prince Edward Islands,-13.91,2.98,1.8,14.53,8.19,"Year: 1960
Mean change: 3%
SD: ±8.2%"
1961,historical,Crozet Islands,-21.57,-2.8,-0.51,2.69,7.4,"Year: 1961
Mean change: -2.8%
SD: ±7.4%"
1961,historical,Heard Island and McDonald Islands,-12.45,-2.1,0.9,3.84,5.99,"Year: 1961
Mean change: -2.1%
SD: ±6%"
1961,historical,Kerguelen Islands,-10.25,-1.94,-1.63,1.78,3.49,"Year: 1961
Mean change: -1.9%
SD: ±3.5%"
1961,historical,Prince Edward Islands,-12.45,0.14,0.51,9.73,5.82,"Year: 1961
Mean change: 0.1%
SD: ±5.8%"
1962,historical,Crozet Islands,-21.47,-3.1,-3.4,13.63,8.96,"Year: 1962
Mean change: -3.1%
SD: ±9%"
1962,historical,Heard Island and McDonald Islands,-9.75,-1.61,0.78,5.59,6.03,"Year: 1962
Mean change: -1.6%
SD: ±6%"
1962,historical,Kerguelen Islands,-9.82,-2.25,-1.56,1.18,3.17,"Year: 1962
Mean change: -2.2%
SD: ±3.2%"
1962,historical,Prince Edward Islands,-11.52,-0.59,-1.06,12.38,6.38,"Year: 1962
Mean change: -0.6%
SD: ±6.4%"
1963,historical,Crozet Islands,-22.08,-3.67,-4.1,11.02,8.91,"Year: 1963
Mean change: -3.7%
SD: ±8.9%"
1963,historical,Heard Island and McDonald Islands,-10.57,-1.82,-0.77,4,4.59,"Year: 1963
Mean change: -1.8%
SD: ±4.6%"
1963,historical,Kerguelen Islands,-8.67,-0.85,-0.06,6.77,4.72,"Year: 1963
Mean change: -0.8%
SD: ±4.7%"
1963,historical,Prince Edward Islands,-11.42,-0.4,-1.6,17.19,7.7,"Year: 1963
Mean change: -0.4%
SD: ±7.7%"
1964,historical,Crozet Islands,-22.79,-5.09,-4.93,8.14,8.58,"Year: 1964
Mean change: -5.1%
SD: ±8.6%"
1964,historical,Heard Island and McDonald Islands,-8.91,-3.35,-2.64,3.39,4.19,"Year: 1964
Mean change: -3.4%
SD: ±4.2%"
1964,historical,Kerguelen Islands,-8.51,-4.13,-4.85,0.76,3.99,"Year: 1964
Mean change: -4.1%
SD: ±4%"
1964,historical,Prince Edward Islands,-11.75,-1.4,-0.22,12.61,8.11,"Year: 1964
Mean change: -1.4%
SD: ±8.1%"
1965,historical,Crozet Islands,-23.07,-2.83,-0.3,6.14,8.98,"Year: 1965
Mean change: -2.8%
SD: ±9%"
1965,historical,Heard Island and McDonald Islands,-12.12,-2.09,-1.03,3.96,4.88,"Year: 1965
Mean change: -2.1%
SD: ±4.9%"
1965,historical,Kerguelen Islands,-9.09,-2.49,-1.8,4.53,4.22,"Year: 1965
Mean change: -2.5%
SD: ±4.2%"
1965,historical,Prince Edward Islands,-11.62,0.99,0.76,13.97,7.64,"Year: 1965
Mean change: 1%
SD: ±7.6%"
1966,historical,Crozet Islands,-22.87,-2.26,-1.72,10.36,9.7,"Year: 1966
Mean change: -2.3%
SD: ±9.7%"
1966,historical,Heard Island and McDonald Islands,-10.98,-1.96,-1.68,8,5.75,"Year: 1966
Mean change: -2%
SD: ±5.8%"
1966,historical,Kerguelen Islands,-8.38,-1.05,0.09,8.7,5.31,"Year: 1966
Mean change: -1%
SD: ±5.3%"
1966,historical,Prince Edward Islands,-11.45,-0.49,0.11,12.38,7.2,"Year: 1966
Mean change: -0.5%
SD: ±7.2%"
1967,historical,Crozet Islands,-22.57,-2.04,-1.6,13.38,9.73,"Year: 1967
Mean change: -2%
SD: ±9.7%"
1967,historical,Heard Island and McDonald Islands,-11.72,-4.11,-4.08,2.72,5.17,"Year: 1967
Mean change: -4.1%
SD: ±5.2%"
1967,historical,Kerguelen Islands,-7.19,-1.05,-0.68,7.01,4.74,"Year: 1967
Mean change: -1%
SD: ±4.7%"
1967,historical,Prince Edward Islands,-11.62,2.07,0.66,20.67,8.76,"Year: 1967
Mean change: 2.1%
SD: ±8.8%"
1968,historical,Crozet Islands,-22.18,-1.77,-1.21,8.74,8.67,"Year: 1968
Mean change: -1.8%
SD: ±8.7%"
1968,historical,Heard Island and McDonald Islands,-9.37,-2.69,-2.56,3.59,4.23,"Year: 1968
Mean change: -2.7%
SD: ±4.2%"
1968,historical,Kerguelen Islands,-6.08,-0.51,0.31,3.33,3.2,"Year: 1968
Mean change: -0.5%
SD: ±3.2%"
1968,historical,Prince Edward Islands,-11.22,1.17,2.15,15.26,7.44,"Year: 1968
Mean change: 1.2%
SD: ±7.4%"
1969,historical,Crozet Islands,-21.41,-2.1,-0.27,5.96,7.3,"Year: 1969
Mean change: -2.1%
SD: ±7.3%"
1969,historical,Heard Island and McDonald Islands,-9,-3.19,-3.65,2.84,4.29,"Year: 1969
Mean change: -3.2%
SD: ±4.3%"
1969,historical,Kerguelen Islands,-6.32,0.37,1.08,4.09,3.3,"Year: 1969
Mean change: 0.4%
SD: ±3.3%"
1969,historical,Prince Edward Islands,-11,-1.11,-2.8,11.19,6.7,"Year: 1969
Mean change: -1.1%
SD: ±6.7%"
1970,historical,Crozet Islands,-20.48,-5.1,-4.22,4.87,6.37,"Year: 1970
Mean change: -5.1%
SD: ±6.4%"
1970,historical,Heard Island and McDonald Islands,-9.45,-3.21,-3.09,2.58,3.28,"Year: 1970
Mean change: -3.2%
SD: ±3.3%"
1970,historical,Kerguelen Islands,-6.74,-1.6,-1.46,3.06,2.84,"Year: 1970
Mean change: -1.6%
SD: ±2.8%"
1970,historical,Prince Edward Islands,-11.27,-2.21,-1.56,6.38,5.33,"Year: 1970
Mean change: -2.2%
SD: ±5.3%"
1971,historical,Crozet Islands,-19.39,-1.34,0.3,4.61,7.27,"Year: 1971
Mean change: -1.3%
SD: ±7.3%"
1971,historical,Heard Island and McDonald Islands,-9.46,-1.7,-1,3.42,4.21,"Year: 1971
Mean change: -1.7%
SD: ±4.2%"
1971,historical,Kerguelen Islands,-6.21,0.08,1.28,6.18,4.42,"Year: 1971
Mean change: 0.1%
SD: ±4.4%"
1971,historical,Prince Edward Islands,-10.91,1.95,3.27,9.78,6.3,"Year: 1971
Mean change: 2%
SD: ±6.3%"
1972,historical,Crozet Islands,-18.28,-1.4,0.11,4.98,7.04,"Year: 1972
Mean change: -1.4%
SD: ±7%"
1972,historical,Heard Island and McDonald Islands,-9.07,-1.14,-2.12,6.71,5.12,"Year: 1972
Mean change: -1.1%
SD: ±5.1%"
1972,historical,Kerguelen Islands,-5.78,-0.13,-0.03,2.72,2.47,"Year: 1972
Mean change: -0.1%
SD: ±2.5%"
1972,historical,Prince Edward Islands,-10.27,1.45,0.82,11.49,6.08,"Year: 1972
Mean change: 1.4%
SD: ±6.1%"
1973,historical,Crozet Islands,-17.52,-0.78,-0.49,18.79,9.39,"Year: 1973
Mean change: -0.8%
SD: ±9.4%"
1973,historical,Heard Island and McDonald Islands,-12.26,-1.95,-0.91,6.13,6.02,"Year: 1973
Mean change: -2%
SD: ±6%"
1973,historical,Kerguelen Islands,-7.36,-1.18,-0.98,7.35,4.35,"Year: 1973
Mean change: -1.2%
SD: ±4.3%"
1973,historical,Prince Edward Islands,-9.49,1.3,1.84,17.71,7.79,"Year: 1973
Mean change: 1.3%
SD: ±7.8%"
1974,historical,Crozet Islands,-16.74,-4.21,-4.64,4.66,5.95,"Year: 1974
Mean change: -4.2%
SD: ±6%"
1974,historical,Heard Island and McDonald Islands,-11.6,-3.01,-1.02,1.77,5,"Year: 1974
Mean change: -3%
SD: ±5%"
1974,historical,Kerguelen Islands,-8.44,-1.62,-1.91,8.44,4.74,"Year: 1974
Mean change: -1.6%
SD: ±4.7%"
1974,historical,Prince Edward Islands,-10.4,-3.83,-4.34,2.9,4.22,"Year: 1974
Mean change: -3.8%
SD: ±4.2%"
1975,historical,Crozet Islands,-16.48,-3.18,-3.7,6.43,6.01,"Year: 1975
Mean change: -3.2%
SD: ±6%"
