year,scenario,fao,min_change,mean_change,median_change,max_change,sd_change,tooltip
1950,historical,Atlantic,-14.37,-6.15,-7.3,4.57,6.63,"Year: 1950
Mean change: -6.2%
SD: ±6.6%"
1950,historical,Indian,-9.13,-4.92,-5.97,1.44,3.43,"Year: 1950
Mean change: -4.9%
SD: ±3.4%"
1950,historical,Pacific,-10.12,-1.79,-2.88,7,6.25,"Year: 1950
Mean change: -1.8%
SD: ±6.2%"
1951,historical,Atlantic,-14.1,-6.68,-8.81,0.81,5.3,"Year: 1951
Mean change: -6.7%
SD: ±5.3%"
1951,historical,Indian,-11.65,-6.8,-7.63,0.7,4.01,"Year: 1951
Mean change: -6.8%
SD: ±4%"
1951,historical,Pacific,-10.38,-3.07,-5.1,6.19,5.64,"Year: 1951
Mean change: -3.1%
SD: ±5.6%"
1952,historical,Atlantic,-12.14,-3.43,-3.11,0.49,3.78,"Year: 1952
Mean change: -3.4%
SD: ±3.8%"
1952,historical,Indian,-9.57,-4.32,-4.97,0.68,3.09,"Year: 1952
Mean change: -4.3%
SD: ±3.1%"
1952,historical,Pacific,-8.7,-3.07,-4.42,5.33,4.72,"Year: 1952
Mean change: -3.1%
SD: ±4.7%"
1953,historical,Atlantic,-15.68,-6.12,-4.83,2.6,6.57,"Year: 1953
Mean change: -6.1%
SD: ±6.6%"
1953,historical,Indian,-9.21,-4.2,-4.52,0.4,3.03,"Year: 1953
Mean change: -4.2%
SD: ±3%"
1953,historical,Pacific,-12.65,-3.51,-4.39,4.4,5.02,"Year: 1953
Mean change: -3.5%
SD: ±5%"
1954,historical,Atlantic,-12.78,-2.75,-3.18,7.25,5.14,"Year: 1954
Mean change: -2.8%
SD: ±5.1%"
1954,historical,Indian,-8.84,-3.25,-2.45,0.77,2.88,"Year: 1954
Mean change: -3.2%
SD: ±2.9%"
1954,historical,Pacific,-8.51,-2.6,-3.95,3.6,3.78,"Year: 1954
Mean change: -2.6%
SD: ±3.8%"
1955,historical,Atlantic,-15.2,-3.94,-2.19,4.06,6.17,"Year: 1955
Mean change: -3.9%
SD: ±6.2%"
1955,historical,Indian,-6.83,-3.85,-3.65,0.38,2.49,"Year: 1955
Mean change: -3.9%
SD: ±2.5%"
1955,historical,Pacific,-6.88,-1.44,-1.75,3.49,3.66,"Year: 1955
Mean change: -1.4%
SD: ±3.7%"
1956,historical,Atlantic,-12.82,-3.46,-1.95,1.99,4.28,"Year: 1956
Mean change: -3.5%
SD: ±4.3%"
1956,historical,Indian,-6.21,-2.99,-2.84,0.11,2.14,"Year: 1956
Mean change: -3%
SD: ±2.1%"
1956,historical,Pacific,-6.21,-1.72,-3.02,6.81,4.59,"Year: 1956
Mean change: -1.7%
SD: ±4.6%"
1957,historical,Atlantic,-14.93,-4.46,-2.88,0.34,5.27,"Year: 1957
Mean change: -4.5%
SD: ±5.3%"
1957,historical,Indian,-6.57,-3.28,-3.04,0.3,2.38,"Year: 1957
Mean change: -3.3%
SD: ±2.4%"
1957,historical,Pacific,-8.89,-2.71,-3.07,5.73,5,"Year: 1957
Mean change: -2.7%
SD: ±5%"
1958,historical,Atlantic,-13.02,-2.77,-2.33,2.77,4.76,"Year: 1958
Mean change: -2.8%
SD: ±4.8%"
1958,historical,Indian,-9.4,-4.26,-3.96,-0.06,3.02,"Year: 1958
Mean change: -4.3%
SD: ±3%"
1958,historical,Pacific,-8.74,-2.77,-3.07,1.79,3.38,"Year: 1958
Mean change: -2.8%
SD: ±3.4%"
1959,historical,Atlantic,-12.58,-4.18,-3.56,4.02,4.63,"Year: 1959
Mean change: -4.2%
SD: ±4.6%"
1959,historical,Indian,-7.92,-5.01,-5.42,-0.4,2.68,"Year: 1959
Mean change: -5%
SD: ±2.7%"
1959,historical,Pacific,-5.05,-1.97,-2.4,2.5,2.11,"Year: 1959
Mean change: -2%
SD: ±2.1%"
1960,historical,Atlantic,-12.02,-2.63,-2.27,4.35,4.6,"Year: 1960
Mean change: -2.6%
SD: ±4.6%"
1960,historical,Indian,-7.77,-2.67,-1.56,-0.52,2.35,"Year: 1960
Mean change: -2.7%
SD: ±2.4%"
1960,historical,Pacific,-8.71,-1.06,-0.85,2.5,3.37,"Year: 1960
Mean change: -1.1%
SD: ±3.4%"
1961,historical,Atlantic,-11.96,-5.33,-5.04,5.31,5.35,"Year: 1961
Mean change: -5.3%
SD: ±5.3%"
1961,historical,Indian,-8.45,-3.26,-3.01,-0.18,2.64,"Year: 1961
Mean change: -3.3%
SD: ±2.6%"
1961,historical,Pacific,-8.17,-2.28,-2.35,2.26,2.92,"Year: 1961
Mean change: -2.3%
SD: ±2.9%"
1962,historical,Atlantic,-12.19,-4.49,-4.85,5.03,4.42,"Year: 1962
Mean change: -4.5%
SD: ±4.4%"
1962,historical,Indian,-8.91,-4.06,-4.32,-0.49,3.08,"Year: 1962
Mean change: -4.1%
SD: ±3.1%"
1962,historical,Pacific,-5.22,-1.87,-2.37,1.58,2.23,"Year: 1962
Mean change: -1.9%
SD: ±2.2%"
1963,historical,Atlantic,-11.91,-0.62,-1.15,6.81,5.31,"Year: 1963
Mean change: -0.6%
SD: ±5.3%"
1963,historical,Indian,-9.27,-3.9,-3.38,-0.6,2.62,"Year: 1963
Mean change: -3.9%
SD: ±2.6%"
1963,historical,Pacific,-4.78,-1.09,-1.97,4.3,2.86,"Year: 1963
Mean change: -1.1%
SD: ±2.9%"
1964,historical,Atlantic,-11.57,-4.83,-4.47,2.74,4.16,"Year: 1964
Mean change: -4.8%
SD: ±4.2%"
1964,historical,Indian,-9.67,-5.52,-5.86,-1.21,2.76,"Year: 1964
Mean change: -5.5%
SD: ±2.8%"
1964,historical,Pacific,-8.15,-3.15,-2.85,0.66,2.58,"Year: 1964
Mean change: -3.1%
SD: ±2.6%"
1965,historical,Atlantic,-11.22,-1.33,-0.99,2.61,3.91,"Year: 1965
Mean change: -1.3%
SD: ±3.9%"
1965,historical,Indian,-10.21,-2.95,-2.44,1.12,3.13,"Year: 1965
Mean change: -3%
SD: ±3.1%"
1965,historical,Pacific,-5.88,-2.08,-2.77,1.49,2.38,"Year: 1965
Mean change: -2.1%
SD: ±2.4%"
1966,historical,Atlantic,-10.68,-5.01,-4.95,3.94,4.64,"Year: 1966
Mean change: -5%
SD: ±4.6%"
1966,historical,Indian,-10.64,-4.25,-4.78,0.96,3.86,"Year: 1966
Mean change: -4.2%
SD: ±3.9%"
