year,scenario,mpa,min_change,mean_change,median_change,max_change,sd_change,tooltip
1950,historical,GPZi,-21.17,-6.1,-9.22,15.91,11.82,"Year: 1950
Mean change: -6.1%
SD: ±11.8%"
1950,historical,GPZii,-18.14,-4.42,-3.06,9.29,7.81,"Year: 1950
Mean change: -4.4%
SD: ±7.8%"
1950,historical,GPZiii,-27.92,-6.05,-2.57,10.1,12.88,"Year: 1950
Mean change: -6%
SD: ±12.9%"
1950,historical,KRZ,-27.22,-9.48,-13.89,10.89,12.81,"Year: 1950
Mean change: -9.5%
SD: ±12.8%"
1950,historical,SOSS,-36.41,-9.92,-9.04,19.69,17.75,"Year: 1950
Mean change: -9.9%
SD: ±17.8%"
1950,historical,SRZ,-27.83,-3.02,-3.95,26.98,19.69,"Year: 1950
Mean change: -3%
SD: ±19.7%"
1951,historical,GPZi,-27.56,-5.81,-5.51,13.41,12.68,"Year: 1951
Mean change: -5.8%
SD: ±12.7%"
1951,historical,GPZii,-16.29,-3.43,-2.32,7.49,7.12,"Year: 1951
Mean change: -3.4%
SD: ±7.1%"
1951,historical,GPZiii,-24.35,-8.08,-7.86,8.65,10.16,"Year: 1951
Mean change: -8.1%
SD: ±10.2%"
1951,historical,KRZ,-20.75,-12.01,-17.24,7.13,10.38,"Year: 1951
Mean change: -12%
SD: ±10.4%"
1951,historical,SOSS,-59.9,-15.49,-5.31,5.19,20.44,"Year: 1951
Mean change: -15.5%
SD: ±20.4%"
1951,historical,SRZ,-32.38,-6.22,-7.91,24.27,18.87,"Year: 1951
Mean change: -6.2%
SD: ±18.9%"
1952,historical,GPZi,-29.24,-7.71,-10.06,13.54,12.37,"Year: 1952
Mean change: -7.7%
SD: ±12.4%"
1952,historical,GPZii,-17.55,-4.45,-2.65,6.11,6.96,"Year: 1952
Mean change: -4.4%
SD: ±7%"
1952,historical,GPZiii,-25.49,-10.76,-11.58,9.93,10.83,"Year: 1952
Mean change: -10.8%
SD: ±10.8%"
1952,historical,KRZ,-20.86,-8.77,-7.63,6.94,9.5,"Year: 1952
Mean change: -8.8%
SD: ±9.5%"
1952,historical,SOSS,-73.05,-24.46,-12.85,3.6,26.76,"Year: 1952
Mean change: -24.5%
SD: ±26.8%"
1952,historical,SRZ,-55.7,-19.25,-20.51,15.91,25.46,"Year: 1952
Mean change: -19.2%
SD: ±25.5%"
1953,historical,GPZi,-40.62,-13.47,-12.41,9.06,16.39,"Year: 1953
Mean change: -13.5%
SD: ±16.4%"
1953,historical,GPZii,-9.73,2.77,2.96,12.37,6.95,"Year: 1953
Mean change: 2.8%
SD: ±7%"
1953,historical,GPZiii,-26.72,-3.29,-7.47,24.02,16.46,"Year: 1953
Mean change: -3.3%
SD: ±16.5%"
1953,historical,KRZ,-24.2,-12.51,-15.61,4.36,10.83,"Year: 1953
Mean change: -12.5%
SD: ±10.8%"
1953,historical,SOSS,-37.53,-13.69,-11.63,5.73,16.16,"Year: 1953
Mean change: -13.7%
SD: ±16.2%"
1953,historical,SRZ,-74.82,-24.46,-14.7,10.12,30.35,"Year: 1953
Mean change: -24.5%
SD: ±30.4%"
1954,historical,GPZi,-39.2,-13.89,-11.73,5.15,15.4,"Year: 1954
Mean change: -13.9%
SD: ±15.4%"
1954,historical,GPZii,-4.85,2.19,0.96,12.89,5.17,"Year: 1954
Mean change: 2.2%
SD: ±5.2%"
