year,scenario,subregion,min_change,mean_change,median_change,max_change,sd_change,tooltip
1950,historical,481,-20.89,-5.2,-0.86,5.41,10.12,"Year: 1950
Mean change: -5.2%
SD: ±10.1%"
1950,historical,482,-25.99,-8.49,-8.92,8,11.21,"Year: 1950
Mean change: -8.5%
SD: ±11.2%"
1950,historical,483,-10.73,-0.85,0.09,6.46,5.82,"Year: 1950
Mean change: -0.8%
SD: ±5.8%"
1950,historical,484,-15.05,-5.05,-5.27,5.89,6.84,"Year: 1950
Mean change: -5%
SD: ±6.8%"
1950,historical,485,-70.07,-15.79,-5.3,8.21,28.85,"Year: 1950
Mean change: -15.8%
SD: ±28.9%"
1950,historical,486,-10.14,-4.84,-6.26,4.48,5.09,"Year: 1950
Mean change: -4.8%
SD: ±5.1%"
1950,historical,5841,-12.26,-2.92,-3.76,12.67,7.09,"Year: 1950
Mean change: -2.9%
SD: ±7.1%"
1950,historical,5842,-16.84,-2.87,-3.45,19.34,11.31,"Year: 1950
Mean change: -2.9%
SD: ±11.3%"
1950,historical,5843a,-16.99,-6.26,-6.09,2.58,5.79,"Year: 1950
Mean change: -6.3%
SD: ±5.8%"
1950,historical,5843b,-13.29,0.63,-0.6,20.72,8.5,"Year: 1950
Mean change: 0.6%
SD: ±8.5%"
1950,historical,5844a,-30.99,-10.27,-10.39,0.01,9.12,"Year: 1950
Mean change: -10.3%
SD: ±9.1%"
1950,historical,5844b,-32.39,-10.65,-9.74,0.26,9.15,"Year: 1950
Mean change: -10.7%
SD: ±9.2%"
1950,historical,5851,-16.52,-3.96,-2.39,0.86,5.42,"Year: 1950
Mean change: -4%
SD: ±5.4%"
1950,historical,5852,-17.21,-6.06,-2.98,1.31,6.75,"Year: 1950
Mean change: -6.1%
SD: ±6.8%"
1950,historical,586,-29.17,-6.57,-4.22,2.64,9.16,"Year: 1950
Mean change: -6.6%
SD: ±9.2%"
1950,historical,587,-12.13,-2.24,-0.91,6.47,5.99,"Year: 1950
Mean change: -2.2%
SD: ±6%"
1950,historical,881,-12.04,-5.55,-8.24,4.19,5.98,"Year: 1950
Mean change: -5.6%
SD: ±6%"
1950,historical,882,-18.53,-1.04,-4.26,16.58,10.59,"Year: 1950
Mean change: -1%
SD: ±10.6%"
1950,historical,883,-9.35,3.23,4.5,23.35,9.33,"Year: 1950
Mean change: 3.2%
SD: ±9.3%"
