rowid,longitude,latitude,decade,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name
151283,30.5,-69.5,2041-2050,ssp126,-5.28,1.82,3.72,7.02,6.37,"Indian Ocean, Antarctic"
151287,30.5,-68.5,2041-2050,ssp126,-13.77,4.95,5.38,36.38,14.5,"Indian Ocean, Antarctic"
151291,30.5,-67.5,2041-2050,ssp126,-11.71,3.87,2.17,27.63,11.73,"Indian Ocean, Antarctic"
151295,30.5,-66.5,2041-2050,ssp126,-2.43,8.09,6.49,24.1,9.43,"Indian Ocean, Antarctic"
151299,30.5,-65.5,2041-2050,ssp126,-3.23,6.39,2.53,19.59,8.09,"Indian Ocean, Antarctic"
151303,30.5,-64.5,2041-2050,ssp126,-2.18,3.98,2.02,12.36,5.33,"Indian Ocean, Antarctic"
151307,30.5,-63.5,2041-2050,ssp126,-7.13,1.74,0.58,15.67,7.28,"Indian Ocean, Antarctic"
151311,30.5,-62.5,2041-2050,ssp126,-11.71,2,0.82,24.7,10.17,"Indian Ocean, Antarctic"
151315,30.5,-61.5,2041-2050,ssp126,-8.59,2.48,2.82,24.22,9.29,"Indian Ocean, Antarctic"
151319,30.5,-60.5,2041-2050,ssp126,-7.23,1.81,-0.02,17.51,8.33,"Indian Ocean, Antarctic"
151323,30.5,-59.5,2041-2050,ssp126,-6.47,2.42,-0.38,30.24,10.57,"Indian Ocean, Antarctic"
151327,30.5,-58.5,2041-2050,ssp126,-11.15,-0.63,-1.06,19.5,8.72,"Indian Ocean, Antarctic"
151331,30.5,-57.5,2041-2050,ssp126,-17.9,-4.28,-3.63,9.51,8.59,"Indian Ocean, Antarctic"
151335,30.5,-56.5,2041-2050,ssp126,-19.99,-5.81,-6.72,8.85,8.61,"Indian Ocean, Antarctic"
151339,30.5,-55.5,2041-2050,ssp126,-20.8,-5.94,-5.22,10.31,8.35,"Indian Ocean, Antarctic"
151343,30.5,-54.5,2041-2050,ssp126,-19.34,-5.11,-4.61,10.81,7.65,"Indian Ocean, Antarctic"
151347,30.5,-53.5,2041-2050,ssp126,-16.87,-4.32,-4.36,10.4,6.96,"Indian Ocean, Antarctic"
151351,30.5,-52.5,2041-2050,ssp126,-13.96,-3.37,-3,9.32,5.89,"Indian Ocean, Antarctic"
151355,30.5,-51.5,2041-2050,ssp126,-10.99,-1.33,-2.15,7.9,5.86,"Indian Ocean, Antarctic"
151359,30.5,-50.5,2041-2050,ssp126,-9.78,-3.06,-2.71,6.42,4.61,"Indian Ocean, Antarctic"
151363,30.5,-49.5,2041-2050,ssp126,-11.73,-3.19,-4.26,7.56,6.3,"Indian Ocean, Antarctic"
151367,30.5,-48.5,2041-2050,ssp126,-11.26,-3.49,-3.68,5.79,5.64,"Indian Ocean, Antarctic"
151371,30.5,-47.5,2041-2050,ssp126,-8.67,-2.09,-3.37,10.56,5.87,"Indian Ocean, Antarctic"
151375,30.5,-46.5,2041-2050,ssp126,-5.96,-2.08,-2.14,3.75,3.03,"Indian Ocean, Antarctic"
151379,30.5,-45.5,2041-2050,ssp126,-4.39,-1.21,-1.63,3.6,2.33,"Indian Ocean, Antarctic"
152003,31.5,-69.5,2041-2050,ssp126,-8.04,1.35,5.68,6.4,8.14,"Indian Ocean, Antarctic"
152007,31.5,-68.5,2041-2050,ssp126,-10.07,4.36,0.16,39.14,15.81,"Indian Ocean, Antarctic"
152011,31.5,-67.5,2041-2050,ssp126,-13.45,4.9,2.53,26.62,12.64,"Indian Ocean, Antarctic"
152015,31.5,-66.5,2041-2050,ssp126,-3.37,9.07,8.66,24.12,9.69,"Indian Ocean, Antarctic"
152019,31.5,-65.5,2041-2050,ssp126,1.34,8.68,4.43,22.63,8.34,"Indian Ocean, Antarctic"
152023,31.5,-64.5,2041-2050,ssp126,-1.95,4.65,3.04,16.17,5.67,"Indian Ocean, Antarctic"
152027,31.5,-63.5,2041-2050,ssp126,-13.31,1.33,1.41,15.28,8.01,"Indian Ocean, Antarctic"
152031,31.5,-62.5,2041-2050,ssp126,-8.44,2.43,1.43,25.08,9.57,"Indian Ocean, Antarctic"
152035,31.5,-61.5,2041-2050,ssp126,-7.2,3.16,3.74,25.42,9.13,"Indian Ocean, Antarctic"
152039,31.5,-60.5,2041-2050,ssp126,-7.26,2.28,0.94,18.49,8.31,"Indian Ocean, Antarctic"
152043,31.5,-59.5,2041-2050,ssp126,-6.34,2.72,1.2,30.25,10.4,"Indian Ocean, Antarctic"
152047,31.5,-58.5,2041-2050,ssp126,-12.21,-0.88,-0.72,18.44,8.61,"Indian Ocean, Antarctic"
152051,31.5,-57.5,2041-2050,ssp126,-18.54,-5.35,-4.22,6.94,7.57,"Indian Ocean, Antarctic"
152055,31.5,-56.5,2041-2050,ssp126,-20.28,-5.35,-6.03,9.14,9.22,"Indian Ocean, Antarctic"
152059,31.5,-55.5,2041-2050,ssp126,-20.79,-5.83,-4.78,10.01,8.29,"Indian Ocean, Antarctic"
152063,31.5,-54.5,2041-2050,ssp126,-19.11,-6.02,-5.37,10.51,7.37,"Indian Ocean, Antarctic"
152067,31.5,-53.5,2041-2050,ssp126,-16.48,-4.64,-4.54,10.13,6.68,"Indian Ocean, Antarctic"
152071,31.5,-52.5,2041-2050,ssp126,-13.79,-3.34,-2.99,9.06,5.85,"Indian Ocean, Antarctic"
152075,31.5,-51.5,2041-2050,ssp126,-11.09,-1.59,-2.34,7.67,5.61,"Indian Ocean, Antarctic"
152079,31.5,-50.5,2041-2050,ssp126,-10.02,-3.15,-3.5,6.28,4.46,"Indian Ocean, Antarctic"
152083,31.5,-49.5,2041-2050,ssp126,-11.16,-2.7,-4.14,12,7.24,"Indian Ocean, Antarctic"
152087,31.5,-48.5,2041-2050,ssp126,-9.95,-3.65,-3.5,4.33,4.99,"Indian Ocean, Antarctic"
152091,31.5,-47.5,2041-2050,ssp126,-9.19,-2.55,-3.13,7.73,5.35,"Indian Ocean, Antarctic"
152095,31.5,-46.5,2041-2050,ssp126,-6.11,-2.28,-2.65,3.68,3.3,"Indian Ocean, Antarctic"
152099,31.5,-45.5,2041-2050,ssp126,-4.59,-1.63,-1.99,3.52,2.49,"Indian Ocean, Antarctic"
152723,32.5,-69.5,2041-2050,ssp126,-4.45,1.99,1.22,9.19,6.85,"Indian Ocean, Antarctic"
152727,32.5,-68.5,2041-2050,ssp126,-9.4,7.88,0.31,46.12,17.69,"Indian Ocean, Antarctic"
152731,32.5,-67.5,2041-2050,ssp126,-4.94,11.22,6.53,35.88,14.21,"Indian Ocean, Antarctic"
