rowid,longitude,latitude,decade,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name
51,-179.5,-77.5,2041-2050,ssp126,-10.78,4.1,-1.99,37.66,14.89,"Pacific, Antarctic"
55,-179.5,-76.5,2041-2050,ssp126,-19.1,5.85,6.46,35.55,14.2,"Pacific, Antarctic"
59,-179.5,-75.5,2041-2050,ssp126,-14.02,3.61,1.45,27.64,12.74,"Pacific, Antarctic"
63,-179.5,-74.5,2041-2050,ssp126,-10.85,2.99,1.42,24.65,12.82,"Pacific, Antarctic"
67,-179.5,-73.5,2041-2050,ssp126,-29.66,-6.89,-5.55,20.77,14.77,"Pacific, Antarctic"
71,-179.5,-72.5,2041-2050,ssp126,-27.85,-3.81,-2.9,11.7,12.18,"Pacific, Antarctic"
75,-179.5,-71.5,2041-2050,ssp126,-32.87,-7.5,-4.22,14.35,13.19,"Pacific, Antarctic"
79,-179.5,-70.5,2041-2050,ssp126,-42.52,-14.69,-14.32,-1.16,12.29,"Pacific, Antarctic"
83,-179.5,-69.5,2041-2050,ssp126,-45.54,-12.81,-13.01,1.94,14.35,"Pacific, Antarctic"
87,-179.5,-68.5,2041-2050,ssp126,-47.13,-9.74,-6.85,12.86,15.87,"Pacific, Antarctic"
91,-179.5,-67.5,2041-2050,ssp126,-43.04,-12.55,-11.75,6.39,13.89,"Pacific, Antarctic"
95,-179.5,-66.5,2041-2050,ssp126,-49.4,-11.84,-10.15,2.38,15.8,"Pacific, Antarctic"
99,-179.5,-65.5,2041-2050,ssp126,-34.29,-9.18,-7.05,5.09,11.92,"Pacific, Antarctic"
103,-179.5,-64.5,2041-2050,ssp126,-30.85,-7.25,-5.32,3.54,10.75,"Pacific, Antarctic"
107,-179.5,-63.5,2041-2050,ssp126,-26.68,-6.29,-5.13,6.91,10.44,"Pacific, Antarctic"
111,-179.5,-62.5,2041-2050,ssp126,-20.72,-3.04,-4.44,19.74,11.93,"Pacific, Antarctic"
115,-179.5,-61.5,2041-2050,ssp126,-21.13,-1.34,-2.76,22.45,11.62,"Pacific, Antarctic"
119,-179.5,-60.5,2041-2050,ssp126,-20.88,-1.32,-2.37,14.04,9.42,"Pacific, Antarctic"
771,-178.5,-77.5,2041-2050,ssp126,-18.92,3.99,0.93,38.32,16.19,"Pacific, Antarctic"
775,-178.5,-76.5,2041-2050,ssp126,-15.18,6.73,5.96,37.21,13.91,"Pacific, Antarctic"
779,-178.5,-75.5,2041-2050,ssp126,-15.62,3.62,2.91,29.88,14.23,"Pacific, Antarctic"
783,-178.5,-74.5,2041-2050,ssp126,-12.1,2.06,4.48,21.06,11.03,"Pacific, Antarctic"
787,-178.5,-73.5,2041-2050,ssp126,-43.52,-6.53,-3.19,16.97,17.49,"Pacific, Antarctic"
791,-178.5,-72.5,2041-2050,ssp126,-18.2,-4.28,-4.73,11.7,9.64,"Pacific, Antarctic"
795,-178.5,-71.5,2041-2050,ssp126,-36.26,-7.83,-5.36,17.69,14.34,"Pacific, Antarctic"
799,-178.5,-70.5,2041-2050,ssp126,-41.49,-16.05,-15.64,-4.12,10.99,"Pacific, Antarctic"
803,-178.5,-69.5,2041-2050,ssp126,-41.54,-12.57,-13.13,4.26,13.24,"Pacific, Antarctic"
807,-178.5,-68.5,2041-2050,ssp126,-42.58,-10.71,-6.53,3.73,13.12,"Pacific, Antarctic"
811,-178.5,-67.5,2041-2050,ssp126,-43.87,-11.29,-8.61,2.88,13.83,"Pacific, Antarctic"
815,-178.5,-66.5,2041-2050,ssp126,-45.64,-10.88,-7.68,0.83,14.37,"Pacific, Antarctic"
819,-178.5,-65.5,2041-2050,ssp126,-32.66,-7.75,-5.24,5.42,11.69,"Pacific, Antarctic"
823,-178.5,-64.5,2041-2050,ssp126,-31.84,-5.75,-4.07,7.85,12.27,"Pacific, Antarctic"
827,-178.5,-63.5,2041-2050,ssp126,-26.21,-5.68,-5.12,13.11,11.55,"Pacific, Antarctic"
831,-178.5,-62.5,2041-2050,ssp126,-21.69,-3.43,-3.35,25.1,12.79,"Pacific, Antarctic"
835,-178.5,-61.5,2041-2050,ssp126,-21.76,-1.37,-2.53,24.63,12,"Pacific, Antarctic"
839,-178.5,-60.5,2041-2050,ssp126,-21.29,-0.22,-1.5,16.73,10.67,"Pacific, Antarctic"
1491,-177.5,-77.5,2041-2050,ssp126,-13.42,4.63,1.4,39.45,15.59,"Pacific, Antarctic"
1495,-177.5,-76.5,2041-2050,ssp126,-14.5,7.5,6.8,39.22,15.12,"Pacific, Antarctic"
1499,-177.5,-75.5,2041-2050,ssp126,-13.59,6.16,8.94,35.65,15.53,"Pacific, Antarctic"
1503,-177.5,-74.5,2041-2050,ssp126,-12.93,1.88,2.53,18.86,11.88,"Pacific, Antarctic"
1507,-177.5,-73.5,2041-2050,ssp126,-23.42,-2.08,-1.78,31.59,15.69,"Pacific, Antarctic"
1511,-177.5,-72.5,2041-2050,ssp126,-23.76,-2.33,-6.25,25.98,14.92,"Pacific, Antarctic"
1515,-177.5,-71.5,2041-2050,ssp126,-39.49,-10.87,-8.02,3.45,12.16,"Pacific, Antarctic"
1519,-177.5,-70.5,2041-2050,ssp126,-42.96,-17.2,-16.74,0.9,11.52,"Pacific, Antarctic"
1523,-177.5,-69.5,2041-2050,ssp126,-40.61,-12.19,-11.64,9.23,13.54,"Pacific, Antarctic"
1527,-177.5,-68.5,2041-2050,ssp126,-43.14,-11.66,-7.27,0.05,12.73,"Pacific, Antarctic"
1531,-177.5,-67.5,2041-2050,ssp126,-52.13,-11.88,-7.46,1.68,15.74,"Pacific, Antarctic"
1535,-177.5,-66.5,2041-2050,ssp126,-40.66,-9.24,-6.3,4.8,13.7,"Pacific, Antarctic"
1539,-177.5,-65.5,2041-2050,ssp126,-32.93,-7.22,-5.87,10.26,12.42,"Pacific, Antarctic"
1543,-177.5,-64.5,2041-2050,ssp126,-32.66,-5.1,-2.83,7.61,13.09,"Pacific, Antarctic"
1547,-177.5,-63.5,2041-2050,ssp126,-26,-5.74,-4.1,9.2,11.13,"Pacific, Antarctic"
1551,-177.5,-62.5,2041-2050,ssp126,-22.53,-3.8,-4.14,22.29,12.33,"Pacific, Antarctic"
1555,-177.5,-61.5,2041-2050,ssp126,-22.25,-1.48,-3.36,31.46,13.77,"Pacific, Antarctic"
