rowid,longitude,latitude,decade,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name,name_merge
153527,33.5,-48.5,2041-2050,ssp126,-10.23,-4.16,-4.37,4.18,4.69,Prince Edward Island,NA
153531,33.5,-47.5,2041-2050,ssp126,-8.49,-3.53,-2.79,3.72,3.73,Prince Edward Island,NA
153535,33.5,-46.5,2041-2050,ssp126,-8.08,-2.73,-2.96,3.47,3.63,Prince Edward Island,NA
153539,33.5,-45.5,2041-2050,ssp126,-6.78,-2.9,-3.07,3.34,2.89,Prince Edward Island,NA
154243,34.5,-49.5,2041-2050,ssp126,-8.86,-2.69,-3.19,4.81,4.55,Prince Edward Island,NA
154247,34.5,-48.5,2041-2050,ssp126,-9.86,-3.47,-3.07,4.06,4.56,Prince Edward Island,NA
154251,34.5,-47.5,2041-2050,ssp126,-8.16,-2.92,-3.64,6.08,4.74,Prince Edward Island,NA
154255,34.5,-46.5,2041-2050,ssp126,-7.71,-2.54,-3.9,6.75,4.5,Prince Edward Island,NA
154259,34.5,-45.5,2041-2050,ssp126,-6.25,-2.3,-3.29,4.39,3.6,Prince Edward Island,NA
154263,34.5,-44.5,2041-2050,ssp126,-6.02,-2.22,-2.81,4.63,3.66,Prince Edward Island,NA
154963,35.5,-49.5,2041-2050,ssp126,-8.71,-2.26,-2.93,4.67,4.59,Prince Edward Island,NA
154967,35.5,-48.5,2041-2050,ssp126,-8.87,-2.78,-3.17,3.92,4.38,Prince Edward Island,NA
154971,35.5,-47.5,2041-2050,ssp126,-7.76,-2.32,-2.88,6.16,4.64,Prince Edward Island,NA
154975,35.5,-46.5,2041-2050,ssp126,-6.68,-1.59,-3.13,11.96,5.6,Prince Edward Island,NA
154979,35.5,-45.5,2041-2050,ssp126,-6.55,-2.45,-3.38,4.45,3.66,Prince Edward Island,NA
154983,35.5,-44.5,2041-2050,ssp126,-8.26,-2.71,-2.89,3.05,3.51,Prince Edward Island,NA
155683,36.5,-49.5,2041-2050,ssp126,-8.57,-1.65,-2.93,9.2,5.39,Prince Edward Island,NA
155687,36.5,-48.5,2041-2050,ssp126,-8.55,-2.65,-3.28,3.78,3.99,Prince Edward Island,NA
155691,36.5,-47.5,2041-2050,ssp126,-7.79,-2.79,-3.31,3.75,4.02,Prince Edward Island,NA
155695,36.5,-46.5,2041-2050,ssp126,-7.26,-2.37,-3.7,9.07,5.04,Prince Edward Island,NA
155699,36.5,-45.5,2041-2050,ssp126,-7.95,-2.36,-3.25,2.91,3.75,Prince Edward Island,NA
155703,36.5,-44.5,2041-2050,ssp126,-8.67,-2.41,-2.65,2.89,3.75,Prince Edward Island,NA
155707,36.5,-43.5,2041-2050,ssp126,-10.6,-3.07,-4.09,5.14,4.68,Prince Edward Island,NA
156403,37.5,-49.5,2041-2050,ssp126,-8.39,-1.3,-3.05,12.15,6.29,Prince Edward Island,NA
156407,37.5,-48.5,2041-2050,ssp126,-8.29,-2.85,-3.28,3.67,3.67,Prince Edward Island,NA
156411,37.5,-47.5,2041-2050,ssp126,-7.49,-3.54,-3.8,3.25,3.47,Prince Edward Island,NA
156415,37.5,-46.5,2041-2050,ssp126,-8.52,-2.82,-4.08,4.81,4.51,Prince Edward Island,NA
156419,37.5,-45.5,2041-2050,ssp126,-7.31,-3.61,-3.85,2.7,2.93,Prince Edward Island,NA
156423,37.5,-44.5,2041-2050,ssp126,-6.85,-1.5,-2.23,4.43,4,Prince Edward Island,NA
156427,37.5,-43.5,2041-2050,ssp126,-8.82,-2.84,-2.5,2.82,3.62,Prince Edward Island,NA
157123,38.5,-49.5,2041-2050,ssp126,-8.58,-1.33,-2.9,13.81,6.72,Prince Edward Island,NA
157127,38.5,-48.5,2041-2050,ssp126,-7.98,-2.52,-3.29,3.61,4.14,Prince Edward Island,NA
157131,38.5,-47.5,2041-2050,ssp126,-8.81,-3.55,-4.09,3.11,3.92,Prince Edward Island,NA
157135,38.5,-46.5,2041-2050,ssp126,-9.37,-3.86,-4.13,2.71,3.64,Prince Edward Island,NA
157139,38.5,-45.5,2041-2050,ssp126,-7.63,-2.89,-3.3,2.48,3.35,Prince Edward Island,NA
157143,38.5,-44.5,2041-2050,ssp126,-5.94,-2.34,-2.97,2.49,2.92,Prince Edward Island,NA
157147,38.5,-43.5,2041-2050,ssp126,-8.11,-2.4,-3.51,6.27,4.35,Prince Edward Island,NA
157843,39.5,-49.5,2041-2050,ssp126,-8.36,-1.62,-2.82,11.01,5.82,Prince Edward Island,NA
157847,39.5,-48.5,2041-2050,ssp126,-7.73,-2.7,-3.45,3.48,3.91,Prince Edward Island,NA
157851,39.5,-47.5,2041-2050,ssp126,-9.17,-3.82,-4.2,2.95,3.98,Prince Edward Island,NA
157855,39.5,-46.5,2041-2050,ssp126,-9.05,-3.9,-4.29,2.49,3.47,Prince Edward Island,NA
157859,39.5,-45.5,2041-2050,ssp126,-8.4,-2.84,-3.25,2.19,3.64,Prince Edward Island,NA
