rowid,longitude,latitude,decade,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name,name_merge
177985,67.5,-53.5,2091-2100,ssp126,-23.37,-8.75,-7.68,-0.08,6.32,Heard Island and McDonald Islands,NA
178701,68.5,-54.5,2091-2100,ssp126,-22.48,-9.1,-7.38,-4.78,5.04,Heard Island and McDonald Islands,NA
178705,68.5,-53.5,2091-2100,ssp126,-23.03,-8.12,-7.48,-2.3,6.03,Heard Island and McDonald Islands,NA
179417,69.5,-55.5,2091-2100,ssp126,-19.8,-7.27,-7.3,0.5,5.84,Heard Island and McDonald Islands,NA
179421,69.5,-54.5,2091-2100,ssp126,-21.9,-8.28,-6.86,-4.38,5.12,Heard Island and McDonald Islands,NA
179425,69.5,-53.5,2091-2100,ssp126,-22.61,-7.11,-8.13,5.42,7.39,Heard Island and McDonald Islands,NA
179429,69.5,-52.5,2091-2100,ssp126,-21.05,-9.69,-10.44,5.29,7.57,Heard Island and McDonald Islands,NA
180137,70.5,-55.5,2091-2100,ssp126,-19.23,-7.76,-7.36,0.16,4.98,Heard Island and McDonald Islands,NA
180141,70.5,-54.5,2091-2100,ssp126,-21.51,-8.29,-7.89,-1.91,5.47,Heard Island and McDonald Islands,NA
180145,70.5,-53.5,2091-2100,ssp126,-22.45,-9.47,-9.07,-0.23,6.17,Heard Island and McDonald Islands,NA
180149,70.5,-52.5,2091-2100,ssp126,-20.17,-9.94,-10.36,0.63,6.36,Heard Island and McDonald Islands,NA
180857,71.5,-55.5,2091-2100,ssp126,-18.35,-6.62,-7.13,5.23,6.24,Heard Island and McDonald Islands,NA
180861,71.5,-54.5,2091-2100,ssp126,-21.59,-8.75,-8.11,-0.99,5.58,Heard Island and McDonald Islands,NA
180865,71.5,-53.5,2091-2100,ssp126,-22.35,-10.3,-10.77,-1.57,5.88,Heard Island and McDonald Islands,NA
180869,71.5,-52.5,2091-2100,ssp126,-21.35,-11.96,-11.53,-3.86,5.7,Heard Island and McDonald Islands,NA
180873,71.5,-51.5,2091-2100,ssp126,-17.47,-6.05,-5.37,1.76,6.21,Heard Island and McDonald Islands,NA
181577,72.5,-55.5,2091-2100,ssp126,-16.99,-7.93,-7.68,2.68,5.05,Heard Island and McDonald Islands,NA
181581,72.5,-54.5,2091-2100,ssp126,-20.95,-6.58,-5.89,13.37,8.56,Heard Island and McDonald Islands,NA
181585,72.5,-53.5,2091-2100,ssp126,-16.29,-9.15,-10.09,-0.1,4.51,Heard Island and McDonald Islands,NA
181589,72.5,-52.5,2091-2100,ssp126,-15.94,-6.86,-7.37,5.93,6.14,Heard Island and McDonald Islands,NA
181593,72.5,-51.5,2091-2100,ssp126,-16.08,-6.6,-5.92,5.54,6.62,Heard Island and McDonald Islands,NA
182293,73.5,-56.5,2091-2100,ssp126,-10.57,-5.57,-5.73,1.87,3.24,Heard Island and McDonald Islands,NA
182297,73.5,-55.5,2091-2100,ssp126,-16.22,-7.37,-8.1,3.89,5.31,Heard Island and McDonald Islands,NA
182301,73.5,-54.5,2091-2100,ssp126,-18.77,-6.17,-4.98,3.11,6.29,Heard Island and McDonald Islands,NA
182305,73.5,-53.5,2091-2100,ssp126,-12.29,-5.29,-5.23,1.69,5.07,Heard Island and McDonald Islands,NA
182309,73.5,-52.5,2091-2100,ssp126,-14.03,-5.54,-7.2,9.31,7.84,Heard Island and McDonald Islands,NA
182313,73.5,-51.5,2091-2100,ssp126,-16.23,-8.64,-8.64,-0.83,4.69,Heard Island and McDonald Islands,NA
183017,74.5,-55.5,2091-2100,ssp126,-15.02,-5.83,-7.13,6.83,5.94,Heard Island and McDonald Islands,NA
183021,74.5,-54.5,2091-2100,ssp126,-16.93,-6.16,-4.97,-0.09,5.53,Heard Island and McDonald Islands,NA
