rowid,longitude,latitude,decade,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name,name_merge
175120,63.5,-50.5,2041-2050,ssp585,-20.47,-7.18,-6.05,2.16,7.14,Kerguelen Islands,NA
175124,63.5,-49.5,2041-2050,ssp585,-18.53,-6.77,-6.32,2.98,7.18,Kerguelen Islands,NA
175836,64.5,-51.5,2041-2050,ssp585,-20.91,-6.87,-6.38,3.23,6.49,Kerguelen Islands,NA
175840,64.5,-50.5,2041-2050,ssp585,-16.09,-6.34,-5.55,1.91,6.17,Kerguelen Islands,NA
175844,64.5,-49.5,2041-2050,ssp585,-17.51,-6.47,-6.2,3.81,6.55,Kerguelen Islands,NA
175848,64.5,-48.5,2041-2050,ssp585,-17.23,-8.1,-6.25,-0.73,6.69,Kerguelen Islands,NA
175852,64.5,-47.5,2041-2050,ssp585,-22.61,-8.49,-6.25,0.58,7.52,Kerguelen Islands,NA
176552,65.5,-52.5,2041-2050,ssp585,-22.71,-5.87,-4.76,3.08,6.97,Kerguelen Islands,NA
176556,65.5,-51.5,2041-2050,ssp585,-21.47,-6.28,-5.17,6.24,7.57,Kerguelen Islands,NA
176560,65.5,-50.5,2041-2050,ssp585,-17.48,-6.48,-5.63,1.84,6.08,Kerguelen Islands,NA
176564,65.5,-49.5,2041-2050,ssp585,-18.49,-7.54,-6.27,4.14,7.48,Kerguelen Islands,NA
176568,65.5,-48.5,2041-2050,ssp585,-23.23,-9.01,-8.64,-0.67,7.68,Kerguelen Islands,NA
176572,65.5,-47.5,2041-2050,ssp585,-22.17,-8.38,-7.44,-0.67,7.22,Kerguelen Islands,NA
176576,65.5,-46.5,2041-2050,ssp585,-22.04,-7.76,-5.67,2.73,7.62,Kerguelen Islands,NA
177272,66.5,-52.5,2041-2050,ssp585,-23.15,-5.89,-5.17,3.64,7.51,Kerguelen Islands,NA
177276,66.5,-51.5,2041-2050,ssp585,-21.21,-7.22,-5.3,3.08,6.97,Kerguelen Islands,NA
177280,66.5,-50.5,2041-2050,ssp585,-18.78,-6.93,-5.21,0.19,5.81,Kerguelen Islands,NA
177284,66.5,-49.5,2041-2050,ssp585,-23.92,-7.74,-5.74,6.05,8.87,Kerguelen Islands,NA
177288,66.5,-48.5,2041-2050,ssp585,-23.61,-8.41,-7.7,0.94,7.75,Kerguelen Islands,NA
177292,66.5,-47.5,2041-2050,ssp585,-21.1,-7.13,-6.56,6.34,8.08,Kerguelen Islands,NA
177296,66.5,-46.5,2041-2050,ssp585,-21.47,-7.91,-6.95,-0.39,6.68,Kerguelen Islands,NA
177992,67.5,-52.5,2041-2050,ssp585,-23.16,-6.63,-6.21,3.67,7.07,Kerguelen Islands,NA
177996,67.5,-51.5,2041-2050,ssp585,-19.81,-6.17,-5.68,6.58,8.07,Kerguelen Islands,NA
178000,67.5,-50.5,2041-2050,ssp585,-19.6,-6.06,-4.65,2.16,6.86,Kerguelen Islands,NA
178004,67.5,-49.5,2041-2050,ssp585,-20.58,-5.01,-3.51,6.46,8.49,Kerguelen Islands,NA
178008,67.5,-48.5,2041-2050,ssp585,-20.2,-5.93,-4.39,2.57,7.4,Kerguelen Islands,NA
178012,67.5,-47.5,2041-2050,ssp585,-19.02,-6.21,-5.75,7.95,7.86,Kerguelen Islands,NA
178016,67.5,-46.5,2041-2050,ssp585,-20.29,-7.8,-7.08,0.13,6.29,Kerguelen Islands,NA
178020,67.5,-45.5,2041-2050,ssp585,-18.99,-8.14,-7.45,0.66,5.66,Kerguelen Islands,NA
178712,68.5,-52.5,2041-2050,ssp585,-22.12,-6.44,-5.77,1.17,6.58,Kerguelen Islands,NA
