rowid,longitude,latitude,decade,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name
79282,-69.5,-69.5,2091-2100,ssp585,-15.8,12.75,12.75,41.31,40.38,"Atlantic, Antarctic"
79286,-69.5,-68.5,2091-2100,ssp585,-28.36,15.29,2.97,86,36.93,"Atlantic, Antarctic"
79290,-69.5,-67.5,2091-2100,ssp585,-8.87,15.43,14.13,46.22,17.7,"Atlantic, Antarctic"
79294,-69.5,-66.5,2091-2100,ssp585,-4.23,26.53,27.22,56.37,22.66,"Atlantic, Antarctic"
79298,-69.5,-65.5,2091-2100,ssp585,-1.24,25.22,33.69,50.19,18.57,"Atlantic, Antarctic"
79302,-69.5,-64.5,2091-2100,ssp585,-19.42,12.1,19.23,38.36,22.8,"Atlantic, Antarctic"
79306,-69.5,-63.5,2091-2100,ssp585,-25.48,1.28,3.01,33.91,17.7,"Atlantic, Antarctic"
79310,-69.5,-62.5,2091-2100,ssp585,-20.39,-8.85,-9.96,14.92,10.17,"Atlantic, Antarctic"
79314,-69.5,-61.5,2091-2100,ssp585,-18.55,-11.25,-13.22,-0.12,6.61,"Atlantic, Antarctic"
79318,-69.5,-60.5,2091-2100,ssp585,-19.96,-12.21,-16.5,2.83,8.32,"Atlantic, Antarctic"
79998,-68.5,-70.5,2091-2100,ssp585,-19.31,51.77,60.51,114.12,67.14,"Atlantic, Antarctic"
80002,-68.5,-69.5,2091-2100,ssp585,-21.73,38.03,39.7,96.13,58.95,"Atlantic, Antarctic"
80006,-68.5,-68.5,2091-2100,ssp585,-28.94,4.97,-6.56,51.15,28.88,"Atlantic, Antarctic"
80010,-68.5,-67.5,2091-2100,ssp585,-7.36,13.36,22.31,25.13,18,"Atlantic, Antarctic"
80014,-68.5,-66.5,2091-2100,ssp585,-8.77,14.3,14.71,35.34,15.15,"Atlantic, Antarctic"
80018,-68.5,-65.5,2091-2100,ssp585,1.18,21.43,25.57,44.19,14.3,"Atlantic, Antarctic"
80022,-68.5,-64.5,2091-2100,ssp585,-8.47,15.92,21.53,35.65,18.03,"Atlantic, Antarctic"
80026,-68.5,-63.5,2091-2100,ssp585,-27.61,0.52,4.71,25.16,16.86,"Atlantic, Antarctic"
80030,-68.5,-62.5,2091-2100,ssp585,-25.34,-7.91,-8.39,11.02,10.74,"Atlantic, Antarctic"
80034,-68.5,-61.5,2091-2100,ssp585,-20.21,-9.88,-10.74,9.77,9.01,"Atlantic, Antarctic"
80038,-68.5,-60.5,2091-2100,ssp585,-19.52,-11.49,-15.14,6.06,8.53,"Atlantic, Antarctic"
80722,-67.5,-69.5,2091-2100,ssp585,-14.15,14.43,16.53,40.9,27.59,"Atlantic, Antarctic"
80726,-67.5,-68.5,2091-2100,ssp585,-11.93,9.11,15.54,23.71,18.67,"Atlantic, Antarctic"
80730,-67.5,-67.5,2091-2100,ssp585,-8.45,10.53,14.92,25.13,17.21,"Atlantic, Antarctic"
80734,-67.5,-66.5,2091-2100,ssp585,-21.27,6.88,3.39,45.06,18.57,"Atlantic, Antarctic"
80738,-67.5,-65.5,2091-2100,ssp585,1.21,23.39,24.45,64.36,19.03,"Atlantic, Antarctic"
80742,-67.5,-64.5,2091-2100,ssp585,-0.26,23.6,25.69,42.45,12.69,"Atlantic, Antarctic"
80746,-67.5,-63.5,2091-2100,ssp585,-23.27,5.92,8.51,32.76,16.33,"Atlantic, Antarctic"
80750,-67.5,-62.5,2091-2100,ssp585,-29.43,-6.07,-4.59,16.69,12.72,"Atlantic, Antarctic"
80754,-67.5,-61.5,2091-2100,ssp585,-25.1,-10.21,-9.91,12.65,10,"Atlantic, Antarctic"
80758,-67.5,-60.5,2091-2100,ssp585,-20.41,-10,-12.71,11.83,10.09,"Atlantic, Antarctic"
81450,-66.5,-67.5,2091-2100,ssp585,-2.54,5.31,-1.34,19.81,12.57,"Atlantic, Antarctic"
81454,-66.5,-66.5,2091-2100,ssp585,-19.52,7.74,-2.1,78.79,31.4,"Atlantic, Antarctic"
81458,-66.5,-65.5,2091-2100,ssp585,-8.72,16.2,19.53,33.86,14.04,"Atlantic, Antarctic"
81462,-66.5,-64.5,2091-2100,ssp585,3.72,30.19,33.59,48.12,15.57,"Atlantic, Antarctic"
81466,-66.5,-63.5,2091-2100,ssp585,-10.46,17.46,20.68,42.42,15.91,"Atlantic, Antarctic"
81470,-66.5,-62.5,2091-2100,ssp585,-29.31,-0.71,4.66,18.28,13.52,"Atlantic, Antarctic"
81474,-66.5,-61.5,2091-2100,ssp585,-29.11,-7.6,-7.54,9.42,11.31,"Atlantic, Antarctic"
81478,-66.5,-60.5,2091-2100,ssp585,-24.58,-9.5,-10.06,6.15,9.4,"Atlantic, Antarctic"
82174,-65.5,-66.5,2091-2100,ssp585,-0.8,10.65,16.32,16.44,9.92,"Atlantic, Antarctic"
82178,-65.5,-65.5,2091-2100,ssp585,-10.08,8.98,2.34,47.75,16.43,"Atlantic, Antarctic"
82182,-65.5,-64.5,2091-2100,ssp585,3.24,29.01,31.81,53.58,19.3,"Atlantic, Antarctic"
82186,-65.5,-63.5,2091-2100,ssp585,4.64,25.51,25.82,44.07,11.28,"Atlantic, Antarctic"
82190,-65.5,-62.5,2091-2100,ssp585,-21.13,7.54,11.31,24.3,13.47,"Atlantic, Antarctic"
82194,-65.5,-61.5,2091-2100,ssp585,-26.88,-3.06,-2,13.6,11.77,"Atlantic, Antarctic"
82198,-65.5,-60.5,2091-2100,ssp585,-26.35,-4.79,-5.54,14.37,12.15,"Atlantic, Antarctic"
82898,-64.5,-65.5,2091-2100,ssp585,-16.41,3.47,-4.21,45.19,20.65,"Atlantic, Antarctic"
82902,-64.5,-64.5,2091-2100,ssp585,-0.29,23.84,17.79,57.09,21.18,"Atlantic, Antarctic"
82906,-64.5,-63.5,2091-2100,ssp585,-5.07,31.86,31.21,60.3,19.13,"Atlantic, Antarctic"
