year,scenario,eez,min_change,mean_change,median_change,max_change,sd_change,tooltip,fao,mpa,so,subregion
1950,historical,Crozet Islands,-25.65,-5.1,-2.76,3.55,8.43,"Year: 1950
Mean change: -5.1%
SD: ±8.4%",NA,NA,NA,NA
1950,historical,Heard Island and McDonald Islands,-19.13,-4.78,-1.71,4.51,7.72,"Year: 1950
Mean change: -4.8%
SD: ±7.7%",NA,NA,NA,NA
1950,historical,Kerguelen Islands,-9.51,-2.99,-2.86,1.71,3.9,"Year: 1950
Mean change: -3%
SD: ±3.9%",NA,NA,NA,NA
1950,historical,Macquarie Island,-17.94,-4.69,-4.92,6.32,6.68,"Year: 1950
Mean change: -4.7%
SD: ±6.7%",NA,NA,NA,NA
1950,historical,Prince Edward Islands,-11.3,-0.99,0.28,7.67,5.69,"Year: 1950
Mean change: -1%
SD: ±5.7%",NA,NA,NA,NA
1951,historical,Crozet Islands,-25.9,-5.33,-3.31,2.42,8.29,"Year: 1951
Mean change: -5.3%
SD: ±8.3%",NA,NA,NA,NA
1951,historical,Heard Island and McDonald Islands,-20.52,-4.32,-2.59,5.43,8.11,"Year: 1951
Mean change: -4.3%
SD: ±8.1%",NA,NA,NA,NA
1951,historical,Kerguelen Islands,-10.19,-3.8,-4.41,3.94,4.56,"Year: 1951
Mean change: -3.8%
SD: ±4.6%",NA,NA,NA,NA
1951,historical,Macquarie Island,-18.14,-5.91,-3.01,4.7,8.15,"Year: 1951
Mean change: -5.9%
SD: ±8.2%",NA,NA,NA,NA
1951,historical,Prince Edward Islands,-13.68,-0.67,-0.88,9.97,6.65,"Year: 1951
Mean change: -0.7%
SD: ±6.7%",NA,NA,NA,NA
1952,historical,Crozet Islands,-25.51,-2.25,-0.17,14.14,10.08,"Year: 1952
Mean change: -2.2%
SD: ±10.1%",NA,NA,NA,NA
1952,historical,Heard Island and McDonald Islands,-23.27,-4.33,-0.33,4.76,8.89,"Year: 1952
Mean change: -4.3%
SD: ±8.9%",NA,NA,NA,NA
1952,historical,Kerguelen Islands,-10.67,-2.68,-1.36,2.71,4.95,"Year: 1952
Mean change: -2.7%
SD: ±5%",NA,NA,NA,NA
1952,historical,Macquarie Island,-17.08,-5.58,-3.9,1.73,6.87,"Year: 1952
Mean change: -5.6%
SD: ±6.9%",NA,NA,NA,NA
1952,historical,Prince Edward Islands,-5.71,1.89,0.54,20.71,8.58,"Year: 1952
Mean change: 1.9%
SD: ±8.6%",NA,NA,NA,NA
1953,historical,Crozet Islands,-24.6,-2.72,-1.6,7.91,9.35,"Year: 1953
Mean change: -2.7%
SD: ±9.3%",NA,NA,NA,NA
1953,historical,Heard Island and McDonald Islands,-21.71,-3.12,1.3,6.43,8.78,"Year: 1953
Mean change: -3.1%
SD: ±8.8%",NA,NA,NA,NA
1953,historical,Kerguelen Islands,-10.13,-2.71,-3.19,4.59,4.33,"Year: 1953
Mean change: -2.7%
SD: ±4.3%",NA,NA,NA,NA
1953,historical,Macquarie Island,-14.02,-0.54,0.34,12.94,7.46,"Year: 1953
Mean change: -0.5%
SD: ±7.5%",NA,NA,NA,NA
1953,historical,Prince Edward Islands,-7.08,0.5,-0.81,16.57,7.11,"Year: 1953
Mean change: 0.5%
SD: ±7.1%",NA,NA,NA,NA
1954,historical,Crozet Islands,-24.24,-2.88,-1.71,10.98,9.65,"Year: 1954
Mean change: -2.9%
SD: ±9.7%",NA,NA,NA,NA
1954,historical,Heard Island and McDonald Islands,-18.3,-2.75,-0.57,6.24,7.6,"Year: 1954
Mean change: -2.8%
SD: ±7.6%",NA,NA,NA,NA
1954,historical,Kerguelen Islands,-10.87,-0.75,0.04,7.67,6.25,"Year: 1954
Mean change: -0.8%
SD: ±6.2%",NA,NA,NA,NA
1954,historical,Macquarie Island,-10.72,-3.72,-2.93,0.88,3.61,"Year: 1954
Mean change: -3.7%
SD: ±3.6%",NA,NA,NA,NA
1954,historical,Prince Edward Islands,-9.46,0.09,1.18,6.05,4.44,"Year: 1954
Mean change: 0.1%
SD: ±4.4%",NA,NA,NA,NA
1955,historical,Crozet Islands,-24.51,-5,-4.28,8.75,8.8,"Year: 1955
Mean change: -5%
SD: ±8.8%",NA,NA,NA,NA
1955,historical,Heard Island and McDonald Islands,-16.33,-2.32,0.62,5.78,7.74,"Year: 1955
Mean change: -2.3%
SD: ±7.7%",NA,NA,NA,NA
1955,historical,Kerguelen Islands,-9.04,-2.66,-3.04,3.4,4.24,"Year: 1955
Mean change: -2.7%
SD: ±4.2%",NA,NA,NA,NA
1955,historical,Macquarie Island,-8.45,-1.69,-0.86,3.28,3.9,"Year: 1955
Mean change: -1.7%
SD: ±3.9%",NA,NA,NA,NA
1955,historical,Prince Edward Islands,-10.91,-1.92,-1.62,6.06,4.78,"Year: 1955
Mean change: -1.9%
SD: ±4.8%",NA,NA,NA,NA
1956,historical,Crozet Islands,-24.9,-4.55,-3.3,6.1,8.61,"Year: 1956
Mean change: -4.6%
SD: ±8.6%",NA,NA,NA,NA
1956,historical,Heard Island and McDonald Islands,-17.9,-2.06,0.57,6.8,7.88,"Year: 1956
Mean change: -2.1%
SD: ±7.9%",NA,NA,NA,NA
1956,historical,Kerguelen Islands,-9.77,-1.81,-1.06,4.46,4.6,"Year: 1956
Mean change: -1.8%
SD: ±4.6%",NA,NA,NA,NA
1956,historical,Macquarie Island,-13.14,-4.26,-2.84,1.24,4.91,"Year: 1956
Mean change: -4.3%
SD: ±4.9%",NA,NA,NA,NA
1956,historical,Prince Edward Islands,-12.12,0.1,1.34,8.69,5.71,"Year: 1956
Mean change: 0.1%
SD: ±5.7%",NA,NA,NA,NA
1957,historical,Crozet Islands,-24.76,-2.32,-0.14,8.06,9.1,"Year: 1957
Mean change: -2.3%
SD: ±9.1%",NA,NA,NA,NA
1957,historical,Heard Island and McDonald Islands,-17.85,-3.16,-0.82,4.25,6.9,"Year: 1957
Mean change: -3.2%
SD: ±6.9%",NA,NA,NA,NA
1957,historical,Kerguelen Islands,-8.51,-1.57,-0.44,6.43,4.74,"Year: 1957
Mean change: -1.6%
SD: ±4.7%",NA,NA,NA,NA
1957,historical,Macquarie Island,-19.66,-5.96,-7.01,1.53,6.31,"Year: 1957
Mean change: -6%
SD: ±6.3%",NA,NA,NA,NA
1957,historical,Prince Edward Islands,-13.3,1.33,2.1,11.32,7,"Year: 1957
Mean change: 1.3%
SD: ±7%",NA,NA,NA,NA
1958,historical,Crozet Islands,-24.01,-2.81,-1.12,8.64,8.58,"Year: 1958
Mean change: -2.8%
SD: ±8.6%",NA,NA,NA,NA
