year,scenario,name,min_change,mean_change,median_change,max_change,sd_change
1950,historical,"Atlantic, Antarctic",-14.37,-6.15,-7.3,4.57,6.63
1951,historical,"Atlantic, Antarctic",-14.1,-6.68,-8.81,0.81,5.3
1952,historical,"Atlantic, Antarctic",-12.14,-3.43,-3.11,0.49,3.78
1953,historical,"Atlantic, Antarctic",-15.68,-6.12,-4.83,2.6,6.57
1954,historical,"Atlantic, Antarctic",-12.78,-2.75,-3.18,7.25,5.14
1955,historical,"Atlantic, Antarctic",-15.2,-3.94,-2.19,4.06,6.17
1956,historical,"Atlantic, Antarctic",-12.82,-3.46,-1.95,1.99,4.28
1957,historical,"Atlantic, Antarctic",-14.93,-4.46,-2.88,0.34,5.27
1958,historical,"Atlantic, Antarctic",-13.02,-2.77,-2.33,2.77,4.76
1959,historical,"Atlantic, Antarctic",-12.58,-4.18,-3.56,4.02,4.63
1960,historical,"Atlantic, Antarctic",-12.02,-2.63,-2.27,4.35,4.6
1961,historical,"Atlantic, Antarctic",-11.96,-5.33,-5.04,5.31,5.35
1962,historical,"Atlantic, Antarctic",-12.19,-4.49,-4.85,5.03,4.42
1963,historical,"Atlantic, Antarctic",-11.91,-0.62,-1.15,6.81,5.31
1964,historical,"Atlantic, Antarctic",-11.57,-4.83,-4.47,2.74,4.16
1965,historical,"Atlantic, Antarctic",-11.22,-1.33,-0.99,2.61,3.91
1966,historical,"Atlantic, Antarctic",-10.68,-5.01,-4.95,3.94,4.64
1967,historical,"Atlantic, Antarctic",-12.27,-3.66,-3.92,7.26,6.12
1968,historical,"Atlantic, Antarctic",-10.97,-2.54,-0.41,6.12,5.27
1969,historical,"Atlantic, Antarctic",-11.52,-3.82,-3.69,4.5,5.16
1970,historical,"Atlantic, Antarctic",-11.09,-2.67,-2.15,2.95,4.5
1971,historical,"Atlantic, Antarctic",-12.58,-3.25,-1.27,2.01,5.53
1972,historical,"Atlantic, Antarctic",-12.03,-1.74,-0.28,2.57,4.35
1973,historical,"Atlantic, Antarctic",-16.89,-4.96,-2.96,0.91,5.6
1974,historical,"Atlantic, Antarctic",-11.66,-5.47,-3.92,0.03,4.37
1975,historical,"Atlantic, Antarctic",-13.9,-5.21,-4.06,-0.34,4.42
1976,historical,"Atlantic, Antarctic",-12.31,-3.26,-2.63,3.05,4.38
1977,historical,"Atlantic, Antarctic",-14.02,-4.5,-3,2.11,5.15
1978,historical,"Atlantic, Antarctic",-12.3,-5.17,-5.38,4.78,5.21
1979,historical,"Atlantic, Antarctic",-12.31,-3.19,-2.89,2.94,3.91
1980,historical,"Atlantic, Antarctic",-12.1,-1.89,-1.16,2.72,3.93
1981,historical,"Atlantic, Antarctic",-11.3,-1.96,-2.25,7.08,5.26
1982,historical,"Atlantic, Antarctic",-11.92,-6.21,-7,2.02,4.47
1983,historical,"Atlantic, Antarctic",-11.82,-5.89,-4.54,1.15,4.59
1984,historical,"Atlantic, Antarctic",-9.78,-3.1,-2.78,6.5,4.57
1985,historical,"Atlantic, Antarctic",-9.47,-3.49,-3.41,2.57,3.7
1986,historical,"Atlantic, Antarctic",-10.53,-3.74,-3.77,1.66,3.99
1987,historical,"Atlantic, Antarctic",-7.08,-3.37,-3.34,1.59,2.81
1988,historical,"Atlantic, Antarctic",-8.05,-2.54,-1.92,3.04,3.79
1989,historical,"Atlantic, Antarctic",-8.95,-0.92,-0.49,5.96,4.41
1990,historical,"Atlantic, Antarctic",-12.85,-0.33,1.56,6.37,5.57
1991,historical,"Atlantic, Antarctic",-9.83,-1.94,-2.49,4.29,4
1992,historical,"Atlantic, Antarctic",-5.26,-0.42,-0.54,5,3.09
1993,historical,"Atlantic, Antarctic",-5.08,0.25,-0.06,4.65,3.19
1994,historical,"Atlantic, Antarctic",-7.67,-0.45,0.99,4.9,4.73
1995,historical,"Atlantic, Antarctic",-2.18,0.17,-0.41,4.16,2.12
1996,historical,"Atlantic, Antarctic",-7.17,-2.23,-2.7,2.03,3.39
1997,historical,"Atlantic, Antarctic",-4.84,0.8,0.84,8.45,3.46
1998,historical,"Atlantic, Antarctic",-1.82,0.22,0.27,2.21,1.45
1999,historical,"Atlantic, Antarctic",-4.65,-0.28,0.32,2.17,1.98
2000,historical,"Atlantic, Antarctic",-5.63,-0.92,-0.18,1.83,2.68
2001,historical,"Atlantic, Antarctic",-8.06,-0.68,-0.18,2.4,3.16
2002,historical,"Atlantic, Antarctic",-1.29,1.08,1.33,2.78,1.51
2003,historical,"Atlantic, Antarctic",-10.25,-2.21,-1.68,1.12,3.33
2004,historical,"Atlantic, Antarctic",-9.04,-1.78,-0.28,0.98,3.03
2005,historical,"Atlantic, Antarctic",-10.71,-1.62,-0.47,2.45,3.78
2006,historical,"Atlantic, Antarctic",-7.62,-2.47,-1.73,0.63,2.99
2007,historical,"Atlantic, Antarctic",-2.78,0.71,0.27,4.86,2.32
2008,historical,"Atlantic, Antarctic",-2.08,0.4,-0,3.3,1.57
2009,historical,"Atlantic, Antarctic",0.12,2.16,1.24,6.19,2.23
2010,historical,"Atlantic, Antarctic",-0.53,1.87,1.07,5.86,2.03
2011,historical,"Atlantic, Antarctic",-6.29,-0.6,-0.05,4.81,2.97
2012,historical,"Atlantic, Antarctic",-3.82,-0.24,-0.13,3.03,1.8
2013,historical,"Atlantic, Antarctic",-6.33,-0.05,-0.32,6.55,4.32
2014,historical,"Atlantic, Antarctic",-3.77,-0.16,-0.32,2.81,1.71
2015,ssp126,"Atlantic, Antarctic",-3.84,-0.85,-0.65,3.36,2.01
2015,ssp585,"Atlantic, Antarctic",-4.83,-0.56,-0.42,5.41,3.24
2016,ssp126,"Atlantic, Antarctic",-0.87,0.45,-0.1,2.98,1.34
2016,ssp585,"Atlantic, Antarctic",-8.45,-2.26,-1.27,3.64,3.36
2017,ssp126,"Atlantic, Antarctic",-12.88,-2.7,-1.17,1.31,4.06
