year,scenario,continent,fao_official,name,min_change,mean_change,median_change,max_change,sd_change
1950,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-19.13,-4.78,-1.71,4.51,7.72
1951,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-20.52,-4.32,-2.59,5.43,8.11
1952,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-23.27,-4.33,-0.33,4.76,8.89
1953,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-21.71,-3.12,1.3,6.43,8.78
1954,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-18.3,-2.75,-0.57,6.24,7.6
1955,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-16.33,-2.32,0.62,5.78,7.74
1956,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-17.9,-2.06,0.57,6.8,7.88
1957,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-17.85,-3.16,-0.82,4.25,6.9
1958,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-13.86,-2.01,2.35,4.51,7.23
1959,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-15.32,-3.27,-1.09,4.39,6.91
1960,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-15.92,-2.6,0.42,7.4,7.76
1961,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-12.45,-2.1,0.9,3.84,5.99
1962,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9.75,-1.61,0.78,5.59,6.03
1963,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-10.57,-1.82,-0.77,4,4.59
1964,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-8.91,-3.35,-2.64,3.39,4.19
1965,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-12.12,-2.09,-1.03,3.96,4.88
1966,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-10.98,-1.96,-1.68,8,5.75
1967,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-11.72,-4.11,-4.08,2.72,5.17
1968,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9.37,-2.69,-2.56,3.59,4.23
1969,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9,-3.19,-3.65,2.84,4.29
1970,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9.45,-3.21,-3.09,2.58,3.28
1971,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9.46,-1.7,-1,3.42,4.21
1972,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-9.07,-1.14,-2.12,6.71,5.12
1973,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-12.26,-1.95,-0.91,6.13,6.02
1974,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-11.6,-3.01,-1.02,1.77,5
1975,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-8.84,-1.77,-0.23,3.58,4.36
1976,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-11.57,-2.48,-2.38,3.98,5.11
1977,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-8.83,-1,1.44,3.91,4.77
1978,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-11.05,-1.83,-1.24,5.84,5.57
1979,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-12.46,-0.7,0.24,7.1,5.85
1980,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-5.99,-1.07,-0.12,2.19,2.89
1981,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-8.01,-2.41,-2.68,1.78,3.36
1982,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-7.33,-3.48,-5.2,3.37,3.67
1983,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-13.12,-1.36,-0.17,3.11,4.62
1984,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-10.57,-0.87,0.21,4.6,4.95
1985,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-7.38,-1.56,-1.29,3.01,3.54
1986,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-6.1,-1.08,-1.89,4.18,3.52
1987,historical,Oceania,Heard Island and McDonald Islands,Heard Island and McDonald Islands,-6.63,-0.49,-0.57,5.33,4.64
