year,scenario,name,min_change,mean_change,median_change,max_change,sd_change
1950,historical,"Indian Ocean, Antarctic",-9.13,-4.92,-5.97,1.44,3.43
1951,historical,"Indian Ocean, Antarctic",-11.65,-6.8,-7.63,0.7,4.01
1952,historical,"Indian Ocean, Antarctic",-9.57,-4.32,-4.97,0.68,3.09
1953,historical,"Indian Ocean, Antarctic",-9.21,-4.2,-4.52,0.4,3.03
1954,historical,"Indian Ocean, Antarctic",-8.84,-3.25,-2.45,0.77,2.88
1955,historical,"Indian Ocean, Antarctic",-6.83,-3.85,-3.65,0.38,2.49
1956,historical,"Indian Ocean, Antarctic",-6.21,-2.99,-2.84,0.11,2.14
1957,historical,"Indian Ocean, Antarctic",-6.57,-3.28,-3.04,0.3,2.38
1958,historical,"Indian Ocean, Antarctic",-9.4,-4.26,-3.96,-0.06,3.02
1959,historical,"Indian Ocean, Antarctic",-7.92,-5.01,-5.42,-0.4,2.68
1960,historical,"Indian Ocean, Antarctic",-7.77,-2.67,-1.56,-0.52,2.35
1961,historical,"Indian Ocean, Antarctic",-8.45,-3.26,-3.01,-0.18,2.64
1962,historical,"Indian Ocean, Antarctic",-8.91,-4.06,-4.32,-0.49,3.08
1963,historical,"Indian Ocean, Antarctic",-9.27,-3.9,-3.38,-0.6,2.62
1964,historical,"Indian Ocean, Antarctic",-9.67,-5.52,-5.86,-1.21,2.76
1965,historical,"Indian Ocean, Antarctic",-10.21,-2.95,-2.44,1.12,3.13
1966,historical,"Indian Ocean, Antarctic",-10.64,-4.25,-4.78,0.96,3.86
1967,historical,"Indian Ocean, Antarctic",-10.85,-3.79,-3.12,0.46,3.59
1968,historical,"Indian Ocean, Antarctic",-10.85,-3.87,-3.24,0.66,3.59
1969,historical,"Indian Ocean, Antarctic",-10.64,-2.7,-1.56,1.77,3.86
1970,historical,"Indian Ocean, Antarctic",-10.36,-3.86,-3.99,1.13,3.38
1971,historical,"Indian Ocean, Antarctic",-10.04,-2.39,-1.79,1.83,4.19
1972,historical,"Indian Ocean, Antarctic",-9.8,-2.47,-0.75,3.01,4.25
1973,historical,"Indian Ocean, Antarctic",-9.51,-3.6,-3.53,0.3,3.1
1974,historical,"Indian Ocean, Antarctic",-9.09,-4.72,-4.21,0.01,3.38
1975,historical,"Indian Ocean, Antarctic",-8.19,-4,-3.43,-0.34,2.96
1976,historical,"Indian Ocean, Antarctic",-7.34,-3.76,-4.22,-0.58,2.44
1977,historical,"Indian Ocean, Antarctic",-6.61,-3.26,-4.16,0.58,2.31
1978,historical,"Indian Ocean, Antarctic",-7.78,-2.45,-3.01,5.25,3.56
1979,historical,"Indian Ocean, Antarctic",-6.52,-2.08,-1.67,1.37,2.61
1980,historical,"Indian Ocean, Antarctic",-5.44,-2.6,-3.55,2.4,2.48
1981,historical,"Indian Ocean, Antarctic",-6.16,-3.02,-3.49,0.26,2.16
1982,historical,"Indian Ocean, Antarctic",-6.69,-3.25,-3.97,2.31,2.84
1983,historical,"Indian Ocean, Antarctic",-6.42,-1.59,-1.66,3.09,2.79
1984,historical,"Indian Ocean, Antarctic",-8.29,-1.56,-1.78,5.36,3.84
1985,historical,"Indian Ocean, Antarctic",-9.09,-2.51,-3.27,2.95,3.73
1986,historical,"Indian Ocean, Antarctic",-7.86,-1.55,-1.41,3.12,3.9
1987,historical,"Indian Ocean, Antarctic",-6.3,-1.63,-1.61,2.93,2.96
1988,historical,"Indian Ocean, Antarctic",-5.19,-0.69,-1.29,4.37,3.59
1989,historical,"Indian Ocean, Antarctic",-5.07,-0.89,-0.98,4.33,3.54
1990,historical,"Indian Ocean, Antarctic",-8.19,-1.06,-1.74,5.38,4.44
1991,historical,"Indian Ocean, Antarctic",-4.56,0.81,0.07,6.14,3.57
1992,historical,"Indian Ocean, Antarctic",-6.59,-1.62,-3.52,5.94,5.19
1993,historical,"Indian Ocean, Antarctic",-6.16,-0.29,0.97,4.95,3.88
1994,historical,"Indian Ocean, Antarctic",-3.54,-0.54,-1.36,3.91,2.65
1995,historical,"Indian Ocean, Antarctic",-4.72,0.12,1.25,4.16,3.44
1996,historical,"Indian Ocean, Antarctic",-5.69,-2.03,-3.39,2.87,3.02
1997,historical,"Indian Ocean, Antarctic",-6.83,-0.68,0.68,2.71,3.39
1998,historical,"Indian Ocean, Antarctic",-4.32,-0.22,0.96,2.52,2.72
1999,historical,"Indian Ocean, Antarctic",-4.46,-0.24,0.37,2.56,2.3
2000,historical,"Indian Ocean, Antarctic",-4.86,-1.61,-1.4,1.62,2.36
2001,historical,"Indian Ocean, Antarctic",-4.72,0.58,0.77,5.16,2.96
2002,historical,"Indian Ocean, Antarctic",-4.52,0.42,1.1,2.84,1.98
2003,historical,"Indian Ocean, Antarctic",-7.89,-2.83,-4.07,3.94,3.96
2004,historical,"Indian Ocean, Antarctic",-7.33,-2.93,-3.46,1.78,2.96
2005,historical,"Indian Ocean, Antarctic",-4.02,-2.13,-2.69,0.37,1.61
2006,historical,"Indian Ocean, Antarctic",-6.4,-1.62,-0.89,0.53,2.15
2007,historical,"Indian Ocean, Antarctic",-2.78,2.11,1.67,9.33,3.67
2008,historical,"Indian Ocean, Antarctic",-1.29,1.18,1.12,3.62,1.65
2009,historical,"Indian Ocean, Antarctic",-2.71,0.87,0.76,3.31,1.86
2010,historical,"Indian Ocean, Antarctic",-7.23,-0.2,1.09,3.99,4
2011,historical,"Indian Ocean, Antarctic",-4.01,-0.12,0.06,2.6,2.09
2012,historical,"Indian Ocean, Antarctic",-2.9,0.32,0.08,2.56,1.69
2013,historical,"Indian Ocean, Antarctic",-3.77,-0.18,-0.03,2.37,1.85
2014,historical,"Indian Ocean, Antarctic",-2.38,-0.21,-0.32,2.39,1.47
2015,ssp126,"Indian Ocean, Antarctic",-2.08,-0.51,-0.5,2.3,1.15
2015,ssp585,"Indian Ocean, Antarctic",-3.19,-0.82,-0.84,2.28,1.47
2016,ssp126,"Indian Ocean, Antarctic",-5.03,-1.21,-0.85,1.99,1.95
2016,ssp585,"Indian Ocean, Antarctic",-8.78,-3.12,-3.43,2.3,3.05
2017,ssp126,"Indian Ocean, Antarctic",-10.83,-4.58,-4.85,1.26,3.84
2017,ssp585,"Indian Ocean, Antarctic",-4.9,-1.78,-1.68,2.47,2.12
2018,ssp126,"Indian Ocean, Antarctic",-8.8,-4.45,-4.66,0.3,2.8
2018,ssp585,"Indian Ocean, Antarctic",-6.82,-0.98,-0.81,3.02,3.03
2019,ssp126,"Indian Ocean, Antarctic",-5.75,-3.73,-4.03,-0.9,1.64
2019,ssp585,"Indian Ocean, Antarctic",-6.16,-0.02,0.46,4.09,3.03
2020,ssp126,"Indian Ocean, Antarctic",-6.63,-2.72,-2.18,0.16,1.87
2020,ssp585,"Indian Ocean, Antarctic",-7.4,-3.22,-3.16,2.11,2.72
2021,ssp126,"Indian Ocean, Antarctic",-7.5,-2.52,-2.27,1.17,2.4
2021,ssp585,"Indian Ocean, Antarctic",-5.74,-1.19,-1.17,3.76,3.2
2022,ssp126,"Indian Ocean, Antarctic",-6.42,-3.49,-3.5,-1.05,1.83
2022,ssp585,"Indian Ocean, Antarctic",-2.17,-0.89,-1.33,1.42,1.24
2023,ssp126,"Indian Ocean, Antarctic",-10.13,-4.48,-3.88,-1.09,3.08
2023,ssp585,"Indian Ocean, Antarctic",-3.25,-0.19,-0.69,3.79,2.13
2024,ssp126,"Indian Ocean, Antarctic",-5.8,-2.79,-2.52,1.26,2.15
2024,ssp585,"Indian Ocean, Antarctic",-1.09,0.18,-0.37,2.99,1.34
2025,ssp126,"Indian Ocean, Antarctic",-5.4,-2.83,-2.65,1.16,2
2025,ssp585,"Indian Ocean, Antarctic",-1.58,0.37,0.33,2.1,1.37
