year,scenario,continent,fao_official,name,min_change,mean_change,median_change,max_change,sd_change
1950,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-9.51,-2.99,-2.86,1.71,3.9
1951,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-10.19,-3.8,-4.41,3.94,4.56
1952,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-10.67,-2.68,-1.36,2.71,4.95
1953,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-10.13,-2.71,-3.19,4.59,4.33
1954,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-10.87,-0.75,0.04,7.67,6.25
1955,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-9.04,-2.66,-3.04,3.4,4.24
1956,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-9.77,-1.81,-1.06,4.46,4.6
1957,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-8.51,-1.57,-0.44,6.43,4.74
1958,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-7.85,-1.31,-1.5,5.64,3.79
1959,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-8.21,-3.18,-3.28,1.05,3.43
1960,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-9.22,-3.07,-1.99,2.22,4.36
1961,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-10.25,-1.94,-1.63,1.78,3.49
1962,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-9.82,-2.25,-1.56,1.18,3.17
1963,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-8.67,-0.85,-0.06,6.77,4.72
1964,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-8.51,-4.13,-4.85,0.76,3.99
1965,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-9.09,-2.49,-1.8,4.53,4.22
1966,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-8.38,-1.05,0.09,8.7,5.31
1967,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-7.19,-1.05,-0.68,7.01,4.74
1968,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-6.08,-0.51,0.31,3.33,3.2
1969,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-6.32,0.37,1.08,4.09,3.3
1970,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-6.74,-1.6,-1.46,3.06,2.84
1971,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-6.21,0.08,1.28,6.18,4.42
1972,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-5.78,-0.13,-0.03,2.72,2.47
1973,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-7.36,-1.18,-0.98,7.35,4.35
1974,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-8.44,-1.62,-1.91,8.44,4.74
1975,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-5.83,-1,-1.12,4.12,3.51
1976,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-6.87,-2.61,-2.78,1.39,3.11
1977,historical,Africa,the Kerguelen Islands,Kerguelen Islands,-10.05,-1.18,-0.55,9.14,5.2
