year,scenario,name,min_change,mean_change,median_change,max_change,sd_change
1950,historical,"Pacific, Antarctic",-10.12,-1.79,-2.88,7,6.25
1951,historical,"Pacific, Antarctic",-10.38,-3.07,-5.1,6.19,5.64
1952,historical,"Pacific, Antarctic",-8.7,-3.07,-4.42,5.33,4.72
1953,historical,"Pacific, Antarctic",-12.65,-3.51,-4.39,4.4,5.02
1954,historical,"Pacific, Antarctic",-8.51,-2.6,-3.95,3.6,3.78
1955,historical,"Pacific, Antarctic",-6.88,-1.44,-1.75,3.49,3.66
1956,historical,"Pacific, Antarctic",-6.21,-1.72,-3.02,6.81,4.59
1957,historical,"Pacific, Antarctic",-8.89,-2.71,-3.07,5.73,5
1958,historical,"Pacific, Antarctic",-8.74,-2.77,-3.07,1.79,3.38
1959,historical,"Pacific, Antarctic",-5.05,-1.97,-2.4,2.5,2.11
1960,historical,"Pacific, Antarctic",-8.71,-1.06,-0.85,2.5,3.37
1961,historical,"Pacific, Antarctic",-8.17,-2.28,-2.35,2.26,2.92
1962,historical,"Pacific, Antarctic",-5.22,-1.87,-2.37,1.58,2.23
1963,historical,"Pacific, Antarctic",-4.78,-1.09,-1.97,4.3,2.86
1964,historical,"Pacific, Antarctic",-8.15,-3.15,-2.85,0.66,2.58
1965,historical,"Pacific, Antarctic",-5.88,-2.08,-2.77,1.49,2.38
1966,historical,"Pacific, Antarctic",-6.3,1.29,1.62,9.82,4.74
1967,historical,"Pacific, Antarctic",-7.02,-0.2,-0.3,6.11,4.81
1968,historical,"Pacific, Antarctic",-7.95,-2.19,-1.68,3.82,3.65
1969,historical,"Pacific, Antarctic",-4.98,-0.74,-1.94,8.67,4.54
1970,historical,"Pacific, Antarctic",-4.93,-1.31,-2.56,4.59,3.13
1971,historical,"Pacific, Antarctic",-5.3,-0.82,-0.14,5.58,3.6
1972,historical,"Pacific, Antarctic",-5.67,0.11,-0.07,8.37,4.88
1973,historical,"Pacific, Antarctic",-6.71,-2.08,-2.47,3.1,3.48
1974,historical,"Pacific, Antarctic",-8.75,-4.23,-4.74,2.3,3.81
1975,historical,"Pacific, Antarctic",-9.2,-3.9,-4.16,1.83,3.32
1976,historical,"Pacific, Antarctic",-7.68,-1.55,-1.26,3.44,3.64
1977,historical,"Pacific, Antarctic",-6.94,-2.91,-2.61,1.78,3.25
1978,historical,"Pacific, Antarctic",-6.66,-2.08,-1.36,1.69,2.88
1979,historical,"Pacific, Antarctic",-6.56,-0.39,-0.88,8.56,3.96
1980,historical,"Pacific, Antarctic",-6.65,-1.23,-1.24,3.26,2.51
1981,historical,"Pacific, Antarctic",-10.3,-3.73,-3.56,1.69,3.51
1982,historical,"Pacific, Antarctic",-9.02,-3.37,-3.91,4.23,3.94
1983,historical,"Pacific, Antarctic",-12.18,-2.72,-1.7,3.15,4.48
1984,historical,"Pacific, Antarctic",-10.66,-1.01,1.01,6.27,5.03
1985,historical,"Pacific, Antarctic",-7.02,-1.98,-1.83,2.97,3.29
1986,historical,"Pacific, Antarctic",-6.58,-0.94,-0.97,4.7,4.43
1987,historical,"Pacific, Antarctic",-7.51,-0.1,0.48,5.47,4.63
1988,historical,"Pacific, Antarctic",-7.53,0.9,1.41,6.69,4.76
1989,historical,"Pacific, Antarctic",-5.86,-1.14,-1.6,6.69,4.32
1990,historical,"Pacific, Antarctic",-6.88,0.64,-0.01,9.83,6.01
1991,historical,"Pacific, Antarctic",-5.01,0.74,0.18,8.49,4.27
1992,historical,"Pacific, Antarctic",-9.83,-2.63,-4.77,9.37,6.49
1993,historical,"Pacific, Antarctic",-11.33,-1.69,-2.87,7.97,6.28
1994,historical,"Pacific, Antarctic",-11.57,-1.69,-1.5,6.74,5.11
1995,historical,"Pacific, Antarctic",-11.54,-1.54,-0.95,5.63,5.03
1996,historical,"Pacific, Antarctic",-13.68,-1.99,-2.76,5.22,5.5
1997,historical,"Pacific, Antarctic",-11.9,-3.76,-4.48,3.86,4.36
1998,historical,"Pacific, Antarctic",-9.08,-4,-4.47,2.55,3.52
