year,scenario,continent,fao_official,name,min_change,mean_change,median_change,max_change,sd_change
1950,historical,Africa,Prince Edward Island,Prince Edward Island,-11.3,-0.99,0.28,7.67,5.69
1951,historical,Africa,Prince Edward Island,Prince Edward Island,-13.68,-0.67,-0.88,9.97,6.65
1952,historical,Africa,Prince Edward Island,Prince Edward Island,-5.71,1.89,0.54,20.71,8.58
1953,historical,Africa,Prince Edward Island,Prince Edward Island,-7.08,0.5,-0.81,16.57,7.11
1954,historical,Africa,Prince Edward Island,Prince Edward Island,-9.46,0.09,1.18,6.05,4.44
1955,historical,Africa,Prince Edward Island,Prince Edward Island,-10.91,-1.92,-1.62,6.06,4.78
1956,historical,Africa,Prince Edward Island,Prince Edward Island,-12.12,0.1,1.34,8.69,5.71
1957,historical,Africa,Prince Edward Island,Prince Edward Island,-13.3,1.33,2.1,11.32,7
1958,historical,Africa,Prince Edward Island,Prince Edward Island,-14.03,0.65,0.96,13.94,7.5
1959,historical,Africa,Prince Edward Island,Prince Edward Island,-14.5,-0.63,0.67,11.55,6.86
1960,historical,Africa,Prince Edward Island,Prince Edward Island,-13.91,2.98,1.8,14.53,8.19
1961,historical,Africa,Prince Edward Island,Prince Edward Island,-12.45,0.14,0.51,9.73,5.82
1962,historical,Africa,Prince Edward Island,Prince Edward Island,-11.52,-0.59,-1.06,12.38,6.38
1963,historical,Africa,Prince Edward Island,Prince Edward Island,-11.42,-0.4,-1.6,17.19,7.7
1964,historical,Africa,Prince Edward Island,Prince Edward Island,-11.75,-1.4,-0.22,12.61,8.11
1965,historical,Africa,Prince Edward Island,Prince Edward Island,-11.62,0.99,0.76,13.97,7.64
1966,historical,Africa,Prince Edward Island,Prince Edward Island,-11.45,-0.49,0.11,12.38,7.2
1967,historical,Africa,Prince Edward Island,Prince Edward Island,-11.62,2.07,0.66,20.67,8.76
1968,historical,Africa,Prince Edward Island,Prince Edward Island,-11.22,1.17,2.15,15.26,7.44
1969,historical,Africa,Prince Edward Island,Prince Edward Island,-11,-1.11,-2.8,11.19,6.7
1970,historical,Africa,Prince Edward Island,Prince Edward Island,-11.27,-2.21,-1.56,6.38,5.33
1971,historical,Africa,Prince Edward Island,Prince Edward Island,-10.91,1.95,3.27,9.78,6.3
1972,historical,Africa,Prince Edward Island,Prince Edward Island,-10.27,1.45,0.82,11.49,6.08
1973,historical,Africa,Prince Edward Island,Prince Edward Island,-9.49,1.3,1.84,17.71,7.79
1974,historical,Africa,Prince Edward Island,Prince Edward Island,-10.4,-3.83,-4.34,2.9,4.22
1975,historical,Africa,Prince Edward Island,Prince Edward Island,-7.65,-1.68,-1.48,8.25,4.76
1976,historical,Africa,Prince Edward Island,Prince Edward Island,-7.49,-0.35,-1.01,13.06,6.68
1977,historical,Africa,Prince Edward Island,Prince Edward Island,-11.96,1.04,1.37,19.09,8.17
1978,historical,Africa,Prince Edward Island,Prince Edward Island,-9.93,0.62,0.8,18.19,7.63
1979,historical,Africa,Prince Edward Island,Prince Edward Island,-8.61,-0.29,-0.57,7.95,5.32
1980,historical,Africa,Prince Edward Island,Prince Edward Island,-9.51,-1.07,-1.38,9.98,5.2
1981,historical,Africa,Prince Edward Island,Prince Edward Island,-10.53,-1.08,-1.1,11.72,5.88
1982,historical,Africa,Prince Edward Island,Prince Edward Island,-10.78,-0.62,-0.96,13.43,6.34
1983,historical,Africa,Prince Edward Island,Prince Edward Island,-9.82,-0.99,0.1,6.8,4.72
1984,historical,Africa,Prince Edward Island,Prince Edward Island,-9.29,-1.8,-2.33,4.18,3.85
1985,historical,Africa,Prince Edward Island,Prince Edward Island,-9.45,0.06,0.22,9.64,5.7
1986,historical,Africa,Prince Edward Island,Prince Edward Island,-8.8,-0.17,-0.69,6.73,4.61
1987,historical,Africa,Prince Edward Island,Prince Edward Island,-8.06,1.14,-0.19,10.56,5.86
1988,historical,Africa,Prince Edward Island,Prince Edward Island,-8.53,1.58,1.79,12.65,6.78
1989,historical,Africa,Prince Edward Island,Prince Edward Island,-9.65,-0.11,-0.4,8.97,5.51
1990,historical,Africa,Prince Edward Island,Prince Edward Island,-10.37,1.15,-0.86,17.53,8.44
1991,historical,Africa,Prince Edward Island,Prince Edward Island,-10.59,0.77,0.69,8.33,5.6
1992,historical,Africa,Prince Edward Island,Prince Edward Island,-10.3,-2.69,-4.41,8.14,5.58
1993,historical,Africa,Prince Edward Island,Prince Edward Island,-9.81,0.79,1.74,7.03,4.29
1994,historical,Africa,Prince Edward Island,Prince Edward Island,-9.14,0.04,2.09,5.79,4.82
1995,historical,Africa,Prince Edward Island,Prince Edward Island,-8.87,1.16,1.99,5.91,4.59
1996,historical,Africa,Prince Edward Island,Prince Edward Island,-8.76,-1.51,-1.81,4.43,4.21
1997,historical,Africa,Prince Edward Island,Prince Edward Island,-7.58,1.32,0.5,14.05,5.42
1998,historical,Africa,Prince Edward Island,Prince Edward Island,-6.13,-0.35,0.3,3.6,3.17
1999,historical,Africa,Prince Edward Island,Prince Edward Island,-6.46,-2.41,-2.38,2.47,3.18
2000,historical,Africa,Prince Edward Island,Prince Edward Island,-10.25,-0.38,-0.06,12.05,5.79
2001,historical,Africa,Prince Edward Island,Prince Edward Island,-4.74,0.24,0.31,5.82,3.3
2002,historical,Africa,Prince Edward Island,Prince Edward Island,-2.4,2.34,1.86,8.05,2.77
2003,historical,Africa,Prince Edward Island,Prince Edward Island,-9.18,1.34,1.5,6.91,4.5
2004,historical,Africa,Prince Edward Island,Prince Edward Island,-11.83,-1.49,0.59,7.74,6.18
2005,historical,Africa,Prince Edward Island,Prince Edward Island,-10.37,-1.48,0.02,4.35,4.26
2006,historical,Africa,Prince Edward Island,Prince Edward Island,-9.75,-2.01,-0.23,3.53,4.26
2007,historical,Africa,Prince Edward Island,Prince Edward Island,-2.85,2.43,0.59,12.94,4.44
2008,historical,Africa,Prince Edward Island,Prince Edward Island,-6.62,-0.28,0.37,2.6,2.69
2009,historical,Africa,Prince Edward Island,Prince Edward Island,-4.14,0.5,0.2,4.71,2.32
2010,historical,Africa,Prince Edward Island,Prince Edward Island,-3.71,3.42,2.56,11.4,4.61
2011,historical,Africa,Prince Edward Island,Prince Edward Island,-4.12,-0.83,-1.21,3.57,2.01
2012,historical,Africa,Prince Edward Island,Prince Edward Island,-5.88,-0.86,-0.73,3.27,2.77
2013,historical,Africa,Prince Edward Island,Prince Edward Island,-4.78,-0.79,-0.53,2.38,2.14
2014,historical,Africa,Prince Edward Island,Prince Edward Island,-2.8,-0.09,-0.18,2.33,1.71
2015,ssp126,Africa,Prince Edward Island,Prince Edward Island,-7.46,-1.46,-0.91,1.89,3.06
2015,ssp585,Africa,Prince Edward Island,Prince Edward Island,-3.4,-1.08,-0.85,0.34,1.11
2016,ssp126,Africa,Prince Edward Island,Prince Edward Island,-9.81,-1.11,-1.44,5.35,4.49
2016,ssp585,Africa,Prince Edward Island,Prince Edward Island,-10.61,-3.36,-2.1,2.97,3.99
2017,ssp126,Africa,Prince Edward Island,Prince Edward Island,-10.98,-4.44,-3.73,-0.76,3.33
2017,ssp585,Africa,Prince Edward Island,Prince Edward Island,-5.62,-1.36,-1.7,8.73,4.06
2018,ssp126,Africa,Prince Edward Island,Prince Edward Island,-9.72,-5.55,-5.7,-1.55,3.29
2018,ssp585,Africa,Prince Edward Island,Prince Edward Island,-5.11,-1.51,-1.27,3.22,2.94
2019,ssp126,Africa,Prince Edward Island,Prince Edward Island,-5.76,-3.93,-4.26,-1.94,1.4
2019,ssp585,Africa,Prince Edward Island,Prince Edward Island,-5.72,-0.85,-1.08,6.15,3.36
2020,ssp126,Africa,Prince Edward Island,Prince Edward Island,-11.26,-4.59,-3.81,-2.12,2.87
2020,ssp585,Africa,Prince Edward Island,Prince Edward Island,-15.67,-4.45,-3.91,2.88,5.05
2021,ssp126,Africa,Prince Edward Island,Prince Edward Island,-8.8,-3.66,-2.61,-0.25,2.83
2021,ssp585,Africa,Prince Edward Island,Prince Edward Island,-8.83,1.23,0.22,9.62,5.84
