longitude,latitude,decade,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name,cv,cv_mask,mpa,subregion
-69.5,-69.5,2041-2050,ssp126,1.07,2.29,2.29,3.51,1.73,Atlantic,0.7554585152838428,NA,NA,481
-69.5,-68.5,2041-2050,ssp126,-22.8,3.1,5.13,21.02,13.7,Atlantic,4.419354838709677,1,NA,481
-69.5,-67.5,2041-2050,ssp126,-14.38,3.91,4.33,25.05,11.81,Atlantic,3.020460358056266,1,NA,481
-69.5,-66.5,2041-2050,ssp126,-27.75,9.44,12.73,35.79,20.04,Atlantic,2.1228813559322033,1,NA,481
-69.5,-65.5,2041-2050,ssp126,-24.35,6.94,11.84,33.71,18.7,Atlantic,2.694524495677233,1,NA,481
-69.5,-64.5,2041-2050,ssp126,-24.22,3.29,5.39,22.96,18.14,Atlantic,5.513677811550152,1,NA,481
-69.5,-63.5,2041-2050,ssp126,-19.79,1.49,4.77,20.18,12.94,Atlantic,8.684563758389261,1,NA,481
-69.5,-62.5,2041-2050,ssp126,-11.17,-1.72,-2.13,13.88,7.28,Atlantic,4.232558139534884,1,NA,481
-69.5,-61.5,2041-2050,ssp126,-12.74,-4.73,-5.23,0.38,4.05,Atlantic,0.8562367864693445,NA,NA,481
-69.5,-60.5,2041-2050,ssp126,-11.75,-4.5,-4.61,5.7,4.86,Atlantic,1.08,1,NA,481
-68.5,-70.5,2041-2050,ssp126,-1.82,11.47,15.14,21.09,11.89,Atlantic,1.036617262423714,1,NA,481
-68.5,-69.5,2041-2050,ssp126,-8.83,3.91,7.26,13.31,11.44,Atlantic,2.9258312020460355,1,NA,NA
-68.5,-68.5,2041-2050,ssp126,-14.18,0.67,2.26,20.51,10.02,Atlantic,14.955223880597014,1,NA,481
-68.5,-67.5,2041-2050,ssp126,5.76,8.45,7.45,12.13,3.3,Atlantic,0.3905325443786982,NA,NA,481
-68.5,-66.5,2041-2050,ssp126,-18.59,5.79,9.14,21.92,13.76,Atlantic,2.376511226252159,1,NA,481
-68.5,-65.5,2041-2050,ssp126,-28.65,6.62,15.11,26.37,18.7,Atlantic,2.824773413897281,1,NA,481
-68.5,-64.5,2041-2050,ssp126,-25.52,4.82,6.04,26.45,20.53,Atlantic,4.259336099585062,1,NA,481
-68.5,-63.5,2041-2050,ssp126,-23.93,1.49,4.24,19.14,14.15,Atlantic,9.496644295302014,1,NA,481
-68.5,-62.5,2041-2050,ssp126,-17.89,-1.86,-0.82,13.05,8.47,Atlantic,4.553763440860215,1,NA,481
-68.5,-61.5,2041-2050,ssp126,-9.31,-3.2,-4.03,4.45,4.49,Atlantic,1.403125,1,NA,481
-68.5,-60.5,2041-2050,ssp126,-11.25,-3.99,-4.55,1.91,4.31,Atlantic,1.0802005012531326,1,NA,481
-67.5,-69.5,2041-2050,ssp126,-8.97,13.66,11.14,38.82,24,Atlantic,1.7569546120058566,1,NA,NA
-67.5,-68.5,2041-2050,ssp126,2.61,4.82,4.31,7.55,2.51,Atlantic,0.5207468879668049,NA,NA,481
-67.5,-67.5,2041-2050,ssp126,3.72,7.03,6.49,10.87,3.6,Atlantic,0.5120910384068279,NA,NA,NA
-67.5,-66.5,2041-2050,ssp126,-22.43,2.34,6.1,33.16,16.21,Atlantic,6.9273504273504285,1,NA,481
-67.5,-65.5,2041-2050,ssp126,-19.82,5.14,7.51,44.71,17.79,Atlantic,3.4610894941634243,1,NA,481
-67.5,-64.5,2041-2050,ssp126,-25.71,5.65,13.45,27.86,18.92,Atlantic,3.3486725663716816,1,NA,481
-67.5,-63.5,2041-2050,ssp126,-27.08,0.98,2.26,27.29,18.38,Atlantic,18.755102040816325,1,NA,481
-67.5,-62.5,2041-2050,ssp126,-24.44,-2.45,0.46,13.35,11.37,Atlantic,4.6408163265306115,1,NA,481
-67.5,-61.5,2041-2050,ssp126,-15.84,-3.73,-2.68,5.48,6.98,Atlantic,1.8713136729222521,1,NA,481
-67.5,-60.5,2041-2050,ssp126,-10.27,-2.49,-3.93,10.1,5.47,Atlantic,2.1967871485943773,1,NA,481
-66.5,-67.5,2041-2050,ssp126,2.06,7.76,4.14,17.08,8.14,Atlantic,1.0489690721649485,1,NA,481
-66.5,-66.5,2041-2050,ssp126,-17.07,4.74,2.67,44.57,18.21,Atlantic,3.8417721518987342,1,NA,481
-66.5,-65.5,2041-2050,ssp126,-18.02,2.58,0.88,32.56,14.09,Atlantic,5.461240310077519,1,NA,481
-66.5,-64.5,2041-2050,ssp126,-19.79,3.27,-0.53,46.72,18.79,Atlantic,5.746177370030581,1,NA,481
-66.5,-63.5,2041-2050,ssp126,-29.05,2.87,6.06,24.66,19.94,Atlantic,6.947735191637631,1,NA,481
-66.5,-62.5,2041-2050,ssp126,-30.39,-0.98,1.64,17.51,15.54,Atlantic,15.857142857142856,1,NA,481
-66.5,-61.5,2041-2050,ssp126,-24.99,-3.02,-1.68,8.1,9.64,Atlantic,3.1920529801324506,1,NA,481
-66.5,-60.5,2041-2050,ssp126,-16.25,-2.82,-2.35,7.09,6.76,Atlantic,2.397163120567376,1,NA,481
-65.5,-66.5,2041-2050,ssp126,1.87,4.59,3.59,8.3,3.33,Atlantic,0.7254901960784315,NA,NA,NA
-65.5,-65.5,2041-2050,ssp126,-13.63,3.34,1.93,38.9,13.99,Atlantic,4.188622754491019,1,NA,481
-65.5,-64.5,2041-2050,ssp126,-17.68,4.41,5.31,24.63,13.6,Atlantic,3.0839002267573696,1,NA,481
-65.5,-63.5,2041-2050,ssp126,-30.69,2.04,7.72,28.87,18.37,Atlantic,9.004901960784315,1,NA,481
-65.5,-62.5,2041-2050,ssp126,-34.08,1.25,5.21,19.52,16.91,Atlantic,13.528,1,NA,481
-65.5,-61.5,2041-2050,ssp126,-31.99,-2.93,0.06,12.98,12.88,Atlantic,4.395904436860068,1,NA,481
-65.5,-60.5,2041-2050,ssp126,-26.55,-2.94,-2.36,9.97,10.5,Atlantic,3.5714285714285716,1,NA,481
-64.5,-65.5,2041-2050,ssp126,-12.94,3.36,0.48,39.69,15.84,Atlantic,4.714285714285714,1,NA,481
-64.5,-64.5,2041-2050,ssp126,-14.26,10.16,7.32,47.18,17.23,Atlantic,1.6958661417322836,1,NA,481
-64.5,-63.5,2041-2050,ssp126,-21.16,8.57,13.09,37.62,17.18,Atlantic,2.0046674445740957,1,NA,481
-64.5,-62.5,2041-2050,ssp126,-33.74,2.52,9.11,24.54,16.75,Atlantic,6.646825396825397,1,NA,481
