area_name,scenario,decade,mean_change,min_change,max_change,median_change,sd_change,n_cells
481,ssp126,2041-2050,1.192,-39.31,60.95,0.74,13.127739130434783,117
482,ssp126,2041-2050,-4.454571428571429,-39.16,23.34,-3.745,8.693285714285715,140
483,ssp126,2041-2050,0.729,-17.86,49.69,-0.5549999999999999,6.845785714285714,140
484,ssp126,2041-2050,-2.938285714285714,-33.21,38.86,-3.98,7.224285714285714,140
485,ssp126,2041-2050,3.6836259541984733,-61.64,78.66,3.4699999999999998,12.179675572519084,739
486,ssp126,2041-2050,0.45557564224548053,-29.85,45.98,-1.23,8.022616555661275,1064
5841,ssp126,2041-2050,-1.114792207792208,-60.67,150.07,-2.3499999999999996,11.531922077922077,774
5842,ssp126,2041-2050,5.231717171717172,-28.61,178.33,2.17,12.11962962962963,309
5843a,ssp126,2041-2050,-0.2017948717948718,-14.96,25.27,-1.47,5.957948717948718,78
5843b,ssp126,2041-2050,2.862909090909091,-18.89,51.03,0.8300000000000001,9.788272727272727,110
5844a,ssp126,2041-2050,-2.1944871794871794,-20.8,35.5,-2.8049999999999997,7.2825,156
5844b,ssp126,2041-2050,-2.2931372549019606,-18.13,37.85,-3.9050000000000002,6.212401960784313,204
5851,ssp126,2041-2050,-4.422384615384615,-21.49,14.15,-4.02,5.378846153846154,130
5852,ssp126,2041-2050,-4.210555555555556,-21.4,14.48,-4.345000000000001,4.879333333333333,90
586,ssp126,2041-2050,-3.5005,-18.39,8.79,-3.895,4.8755,80
587,ssp126,2041-2050,-2.710142857142857,-11.73,13.81,-3.355,4.234857142857143,70
881,ssp126,2041-2050,-5.4065641025641025,-61.21,63.4,-4.94,13.128495726495727,742
882,ssp126,2041-2050,-1.63541910331384,-52.51,56.71,-2.535,11.289931773879143,1134
883,ssp126,2041-2050,3.4270989010989013,-36.61,77.46,1.95,11.312505494505494,477
Atlantic,ssp126,2041-2050,0.7458884200656353,-61.64,78.66,-0.81,9.244481950304735,2133
Crozet Islands,ssp126,2041-2050,-3.6911764705882355,-21.63,8.36,-3.91,4.865,68
GPZi,ssp126,2041-2050,-1.6489122807017544,-57.11,63.4,-1.04,15.473333333333333,537
GPZii,ssp126,2041-2050,-5.138571428571429,-30.33,15.86,-5.46,6.51,14
GPZiii,ssp126,2041-2050,-11.9125,-50.7,15.19,-9.435,15.5375,4
Heard Island and McDonald Islands,ssp126,2041-2050,-3.823888888888889,-21.4,14.48,-4.285,4.6375925925925925,54
