year,scenario,min_change,mean_change,median_change,max_change,sd_change,region_name,tooltip
1950,historical,-14.37,-6.15,-7.3,4.57,6.63,Atlantic,"Year: 1950
Mean change: -6.2%
SD: ±6.6%"
1951,historical,-14.1,-6.68,-8.81,0.81,5.3,Atlantic,"Year: 1951
Mean change: -6.7%
SD: ±5.3%"
1952,historical,-12.14,-3.43,-3.11,0.49,3.78,Atlantic,"Year: 1952
Mean change: -3.4%
SD: ±3.8%"
1953,historical,-15.68,-6.12,-4.83,2.6,6.57,Atlantic,"Year: 1953
Mean change: -6.1%
SD: ±6.6%"
1954,historical,-12.78,-2.75,-3.18,7.25,5.14,Atlantic,"Year: 1954
Mean change: -2.8%
SD: ±5.1%"
1955,historical,-15.2,-3.94,-2.19,4.06,6.17,Atlantic,"Year: 1955
Mean change: -3.9%
SD: ±6.2%"
1956,historical,-12.82,-3.46,-1.95,1.99,4.28,Atlantic,"Year: 1956
Mean change: -3.5%
SD: ±4.3%"
1957,historical,-14.93,-4.46,-2.88,0.34,5.27,Atlantic,"Year: 1957
Mean change: -4.5%
SD: ±5.3%"
1958,historical,-13.02,-2.77,-2.33,2.77,4.76,Atlantic,"Year: 1958
Mean change: -2.8%
SD: ±4.8%"
1959,historical,-12.58,-4.18,-3.56,4.02,4.63,Atlantic,"Year: 1959
Mean change: -4.2%
SD: ±4.6%"
1960,historical,-12.02,-2.63,-2.27,4.35,4.6,Atlantic,"Year: 1960
Mean change: -2.6%
SD: ±4.6%"
1961,historical,-11.96,-5.33,-5.04,5.31,5.35,Atlantic,"Year: 1961
Mean change: -5.3%
SD: ±5.3%"
1962,historical,-12.19,-4.49,-4.85,5.03,4.42,Atlantic,"Year: 1962
Mean change: -4.5%
SD: ±4.4%"
1963,historical,-11.91,-0.62,-1.15,6.81,5.31,Atlantic,"Year: 1963
Mean change: -0.6%
SD: ±5.3%"
1964,historical,-11.57,-4.83,-4.47,2.74,4.16,Atlantic,"Year: 1964
Mean change: -4.8%
SD: ±4.2%"
1965,historical,-11.22,-1.33,-0.99,2.61,3.91,Atlantic,"Year: 1965
Mean change: -1.3%
SD: ±3.9%"
1966,historical,-10.68,-5.01,-4.95,3.94,4.64,Atlantic,"Year: 1966
Mean change: -5%
SD: ±4.6%"
1967,historical,-12.27,-3.66,-3.92,7.26,6.12,Atlantic,"Year: 1967
Mean change: -3.7%
SD: ±6.1%"
1968,historical,-10.97,-2.54,-0.41,6.12,5.27,Atlantic,"Year: 1968
Mean change: -2.5%
SD: ±5.3%"
1969,historical,-11.52,-3.82,-3.69,4.5,5.16,Atlantic,"Year: 1969
Mean change: -3.8%
SD: ±5.2%"
1970,historical,-11.09,-2.67,-2.15,2.95,4.5,Atlantic,"Year: 1970
Mean change: -2.7%
SD: ±4.5%"
1971,historical,-12.58,-3.25,-1.27,2.01,5.53,Atlantic,"Year: 1971
Mean change: -3.2%
SD: ±5.5%"
1972,historical,-12.03,-1.74,-0.28,2.57,4.35,Atlantic,"Year: 1972
Mean change: -1.7%
SD: ±4.3%"
1973,historical,-16.89,-4.96,-2.96,0.91,5.6,Atlantic,"Year: 1973
Mean change: -5%
SD: ±5.6%"
1974,historical,-11.66,-5.47,-3.92,0.03,4.37,Atlantic,"Year: 1974
Mean change: -5.5%
SD: ±4.4%"
1975,historical,-13.9,-5.21,-4.06,-0.34,4.42,Atlantic,"Year: 1975
Mean change: -5.2%
SD: ±4.4%"
1976,historical,-12.31,-3.26,-2.63,3.05,4.38,Atlantic,"Year: 1976
Mean change: -3.3%
SD: ±4.4%"
1977,historical,-14.02,-4.5,-3,2.11,5.15,Atlantic,"Year: 1977
Mean change: -4.5%
SD: ±5.2%"
1978,historical,-12.3,-5.17,-5.38,4.78,5.21,Atlantic,"Year: 1978
Mean change: -5.2%
SD: ±5.2%"
1979,historical,-12.31,-3.19,-2.89,2.94,3.91,Atlantic,"Year: 1979
Mean change: -3.2%
SD: ±3.9%"
1980,historical,-12.1,-1.89,-1.16,2.72,3.93,Atlantic,"Year: 1980
Mean change: -1.9%
SD: ±3.9%"
1981,historical,-11.3,-1.96,-2.25,7.08,5.26,Atlantic,"Year: 1981
Mean change: -2%
SD: ±5.3%"
1982,historical,-11.92,-6.21,-7,2.02,4.47,Atlantic,"Year: 1982
Mean change: -6.2%
SD: ±4.5%"
1983,historical,-11.82,-5.89,-4.54,1.15,4.59,Atlantic,"Year: 1983
Mean change: -5.9%
SD: ±4.6%"
1984,historical,-9.78,-3.1,-2.78,6.5,4.57,Atlantic,"Year: 1984
Mean change: -3.1%
SD: ±4.6%"
1985,historical,-9.47,-3.49,-3.41,2.57,3.7,Atlantic,"Year: 1985
Mean change: -3.5%
SD: ±3.7%"
1986,historical,-10.53,-3.74,-3.77,1.66,3.99,Atlantic,"Year: 1986
Mean change: -3.7%
SD: ±4%"
1987,historical,-7.08,-3.37,-3.34,1.59,2.81,Atlantic,"Year: 1987
Mean change: -3.4%
SD: ±2.8%"
1988,historical,-8.05,-2.54,-1.92,3.04,3.79,Atlantic,"Year: 1988
Mean change: -2.5%
SD: ±3.8%"
1989,historical,-8.95,-0.92,-0.49,5.96,4.41,Atlantic,"Year: 1989
Mean change: -0.9%
SD: ±4.4%"
1990,historical,-12.85,-0.33,1.56,6.37,5.57,Atlantic,"Year: 1990
Mean change: -0.3%
SD: ±5.6%"
1991,historical,-9.83,-1.94,-2.49,4.29,4,Atlantic,"Year: 1991
Mean change: -1.9%
SD: ±4%"
1992,historical,-5.26,-0.42,-0.54,5,3.09,Atlantic,"Year: 1992
Mean change: -0.4%
SD: ±3.1%"
1993,historical,-5.08,0.25,-0.06,4.65,3.19,Atlantic,"Year: 1993
Mean change: 0.2%
SD: ±3.2%"
1994,historical,-7.67,-0.45,0.99,4.9,4.73,Atlantic,"Year: 1994
Mean change: -0.4%
SD: ±4.7%"
1995,historical,-2.18,0.17,-0.41,4.16,2.12,Atlantic,"Year: 1995
Mean change: 0.2%
SD: ±2.1%"
1996,historical,-7.17,-2.23,-2.7,2.03,3.39,Atlantic,"Year: 1996
Mean change: -2.2%
SD: ±3.4%"
1997,historical,-4.84,0.8,0.84,8.45,3.46,Atlantic,"Year: 1997
Mean change: 0.8%
SD: ±3.5%"
1998,historical,-1.82,0.22,0.27,2.21,1.45,Atlantic,"Year: 1998
Mean change: 0.2%
SD: ±1.4%"
1999,historical,-4.65,-0.28,0.32,2.17,1.98,Atlantic,"Year: 1999
Mean change: -0.3%
SD: ±2%"
2000,historical,-5.63,-0.92,-0.18,1.83,2.68,Atlantic,"Year: 2000
Mean change: -0.9%
SD: ±2.7%"
2001,historical,-8.06,-0.68,-0.18,2.4,3.16,Atlantic,"Year: 2001
Mean change: -0.7%
SD: ±3.2%"
2002,historical,-1.29,1.08,1.33,2.78,1.51,Atlantic,"Year: 2002
Mean change: 1.1%
SD: ±1.5%"
2003,historical,-10.25,-2.21,-1.68,1.12,3.33,Atlantic,"Year: 2003
Mean change: -2.2%
SD: ±3.3%"
2004,historical,-9.04,-1.78,-0.28,0.98,3.03,Atlantic,"Year: 2004
Mean change: -1.8%
SD: ±3%"
2005,historical,-10.71,-1.62,-0.47,2.45,3.78,Atlantic,"Year: 2005
Mean change: -1.6%
SD: ±3.8%"
2006,historical,-7.62,-2.47,-1.73,0.63,2.99,Atlantic,"Year: 2006
Mean change: -2.5%
SD: ±3%"
2007,historical,-2.78,0.71,0.27,4.86,2.32,Atlantic,"Year: 2007
Mean change: 0.7%
SD: ±2.3%"
2008,historical,-2.08,0.4,-0,3.3,1.57,Atlantic,"Year: 2008
Mean change: 0.4%
SD: ±1.6%"
2009,historical,0.12,2.16,1.24,6.19,2.23,Atlantic,"Year: 2009
Mean change: 2.2%
SD: ±2.2%"
2010,historical,-0.53,1.87,1.07,5.86,2.03,Atlantic,"Year: 2010
Mean change: 1.9%
SD: ±2%"
2011,historical,-6.29,-0.6,-0.05,4.81,2.97,Atlantic,"Year: 2011
Mean change: -0.6%
SD: ±3%"
2012,historical,-3.82,-0.24,-0.13,3.03,1.8,Atlantic,"Year: 2012
Mean change: -0.2%
SD: ±1.8%"
2013,historical,-6.33,-0.05,-0.32,6.55,4.32,Atlantic,"Year: 2013
Mean change: 0%
SD: ±4.3%"
2014,historical,-3.77,-0.16,-0.32,2.81,1.71,Atlantic,"Year: 2014
Mean change: -0.2%
SD: ±1.7%"
2015,ssp126,-3.84,-0.85,-0.65,3.36,2.01,Atlantic,"Year: 2015
Mean change: -0.8%
SD: ±2%"
2015,ssp585,-4.83,-0.56,-0.42,5.41,3.24,Atlantic,"Year: 2015
Mean change: -0.6%
SD: ±3.2%"
